distance year jd planet number
9.023352999999999513e-01 2.079453500000000076e+03 -5.130573300000000003e+00 5.000000000000000000e+00 1.360499999999999947e-03
2.731745999999999897e-01 2.079456000000000131e+03 2.480566015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
9.096821999999999964e-01 2.079456200000000081e+03 -5.128902400000000306e+00 5.000000000000000000e+00 1.189299999999999906e-03
2.667380999999999780e-01 2.079458999999999833e+03 2.480567015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
9.170272999999999897e-01 2.079458900000000085e+03 -5.127220799999999912e+00 5.000000000000000000e+00 1.018199999999999921e-03
2.603669000000000122e-01 2.079461999999999989e+03 2.480568015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
9.243704000000000365e-01 2.079461699999999837e+03 -5.125528400000000318e+00 5.000000000000000000e+00 8.469999999999999881e-04
2.540659000000000112e-01 2.079463999999999942e+03 2.480569015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
9.317115999999999731e-01 2.079464399999999841e+03 -5.123825199999999747e+00 5.000000000000000000e+00 6.759000000000000034e-04
2.478408000000000000e-01 2.079467000000000098e+03 2.480570015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
9.390509000000000217e-01 2.079467200000000048e+03 -5.122111399999999648e+00 5.000000000000000000e+00 5.046999999999999620e-04
2.416975000000000096e-01 2.079469999999999800e+03 2.480571015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
9.463882000000000128e-01 2.079469900000000052e+03 -5.120386700000000069e+00 5.000000000000000000e+00 3.334999999999999748e-04
2.325316000000000050e-01 2.079474000000000160e+03 2.480572535300000105e+06 5.000000000000000000e+00 1.000000000000000000e+00
9.575371000000000299e-01 2.079474099999999908e+03 -5.117744700000000257e+00 5.000000000000000000e+00 7.339999999999999520e-05
2.266251999999999989e-01 2.079476999999999862e+03 2.480573535300000105e+06 5.000000000000000000e+00 1.000000000000000000e+00
9.648693000000000408e-01 2.079476799999999912e+03 -5.115992999999999569e+00 5.000000000000000000e+00 -9.780000000000000553e-05
2.208266999999999869e-01 2.079480000000000018e+03 2.480574535300000105e+06 5.000000000000000000e+00 1.000000000000000000e+00
9.721994999999999942e-01 2.079479499999999916e+03 -5.114230599999999960e+00 5.000000000000000000e+00 -2.688999999999999767e-04
2.151450000000000029e-01 2.079481999999999971e+03 2.480575535300000105e+06 5.000000000000000000e+00 1.000000000000000000e+00
9.795277000000000012e-01 2.079482300000000123e+03 -5.112457400000000263e+00 5.000000000000000000e+00 -4.401000000000000181e-04
2.095896999999999899e-01 2.079485000000000127e+03 2.480576535300000105e+06 5.000000000000000000e+00 1.000000000000000000e+00
9.868538999999999506e-01 2.079485000000000127e+03 -5.110673499999999869e+00 5.000000000000000000e+00 -6.112999999999999511e-04
2.041715000000000058e-01 2.079487999999999829e+03 2.480577535300000105e+06 5.000000000000000000e+00 1.000000000000000000e+00
