distance year jd planet number
2.678917000000000104e-01 2.209996000000000095e+03 2.528244134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.653950999999999949e-01 2.209998999999999796e+03 2.528245134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.631009999999999738e-01 2.210001999999999953e+03 2.528246134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.610149999999999970e-01 2.210003999999999905e+03 2.528247134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.591418999999999806e-01 2.210007000000000062e+03 2.528248134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.574865000000000070e-01 2.210010000000000218e+03 2.528249134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.560530999999999779e-01 2.210012999999999920e+03 2.528250134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.548452999999999968e-01 2.210014999999999873e+03 2.528251134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.538664999999999949e-01 2.210018000000000029e+03 2.528252134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.531192999999999915e-01 2.210021000000000186e+03 2.528253134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.526056999999999886e-01 2.210023999999999887e+03 2.528254134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.523272999999999766e-01 2.210025999999999840e+03 2.528255134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.522846000000000255e-01 2.210028999999999996e+03 2.528256134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.524778999999999773e-01 2.210032000000000153e+03 2.528257134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.529065999999999814e-01 2.210034999999999854e+03 2.528258134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.535694000000000004e-01 2.210036999999999807e+03 2.528259134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.544644999999999824e-01 2.210039999999999964e+03 2.528260134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.555895000000000250e-01 2.210043000000000120e+03 2.528261134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.569410999999999778e-01 2.210045999999999822e+03 2.528262134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.585160000000000236e-01 2.210047999999999774e+03 2.528263134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.603097999999999801e-01 2.210050999999999931e+03 2.528264134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.623180999999999985e-01 2.210054000000000087e+03 2.528265134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.645359999999999934e-01 2.210056999999999789e+03 2.528266134899999946e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.682964999999999933e-01 2.210061000000000149e+03 2.528267654899999965e+06 5.000000000000000000e+00 1.000000000000000000e+00
2.710182999999999898e-01 2.210063000000000102e+03 2.528268654899999965e+06 5.000000000000000000e+00 1.000000000000000000e+00
