X Y Z velX velY velZ r year
-2.047558301423908766e-01 1.475669510151875530e+00 -2.283099686244131898e-02 -2.618647878587139662e-03 1.820022722935111387e-02 3.211427611719478554e-04 1.489982116532580614e+00 2.820985000000000127e+03
-2.666964070932370534e-01 1.438671355423254861e+00 -1.263823327247446116e-01 -2.635114821128179373e-03 1.819817248098884455e-02 3.211309771477254015e-04 1.468630224561913167e+00 2.821085000000000036e+03
-3.258535153907319293e-01 1.396267974180075866e+00 -2.266937747896581035e-01 -2.651566349419537741e-03 1.819603320473104496e-02 3.211176266689460602e-04 1.451597339740540837e+00 2.821184999999999945e+03
-3.823625789341797976e-01 1.348625445695863512e+00 -3.239451292878306465e-01 -2.667994127991313649e-03 1.819377562298823275e-02 3.211023855795733998e-04 1.438725888186096702e+00 2.821284999999999854e+03
-4.363471449011713799e-01 1.295846220135491889e+00 -4.182977243224018649e-01 -2.684398300705465902e-03 1.819141394366433073e-02 3.210841653284729892e-04 1.429891339674503214e+00 2.821385000000000218e+03
-4.879126257105181885e-01 1.237958659626742675e+00 -5.099119240387828267e-01 -2.700790357050191718e-03 1.818900117726517107e-02 3.210633608651508705e-04 1.424994927552202473e+00 2.821485000000000127e+03
-5.371435309187956308e-01 1.174940797070804566e+00 -5.989330223602097325e-01 -2.717170234476596214e-03 1.818651331340001565e-02 3.210405021758885218e-04 1.423983783160055694e+00 2.821585000000000036e+03
-5.841088076843422572e-01 1.106719956423682927e+00 -6.854867666276964755e-01 -2.733547827130105960e-03 1.818398346178715791e-02 3.210178043597833623e-04 1.426851172471241602e+00 2.821684999999999945e+03
-6.288530326292368633e-01 1.033186939867513532e+00 -7.696561006841803332e-01 -2.749925265533595831e-03 1.818141079243009925e-02 3.209962401794796451e-04 1.433632415467843035e+00 2.821784999999999854e+03
-6.713916076465490379e-01 9.541916874795723924e-01 -8.514873221013581350e-01 -2.766299547905035853e-03 1.817878408757602274e-02 3.209746142694704877e-04 1.444395765354036687e+00 2.821885000000000218e+03
-7.117165020117965923e-01 8.695342656164438688e-01 -9.310013434533821464e-01 -2.782665988351514484e-03 1.817607987284897836e-02 3.209514226143173315e-04 1.459244228986031899e+00 2.821985000000000127e+03
