distance year jd planet number
1.038580000000000059e+00 2.079436999999999898e+03 -4.968416900000000247e+00 5.100000000000000000e+01 -1.978971999999999953e-01
3.129278999999999811e-01 2.079440000000000055e+03 2.480560015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.655724000000000196e-01 2.079439800000000105e+03 -5.138766500000000015e+00 5.000000000000000000e+00 2.216200000000000201e-03
1.040048400000000095e+00 2.079439800000000105e+03 -4.967598899999999595e+00 5.100000000000000000e+01 -1.931903000000000092e-01
3.061853999999999965e-01 2.079443000000000211e+03 2.480561015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.729287000000000019e-01 2.079442500000000109e+03 -5.137149400000000199e+00 5.000000000000000000e+00 2.044999999999999943e-03
1.041512800000000016e+00 2.079442500000000109e+03 -4.966771200000000164e+00 5.100000000000000000e+01 -1.884811000000000125e-01
2.994854000000000127e-01 2.079445000000000164e+03 2.480562015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.802830999999999850e-01 2.079445200000000114e+03 -5.135521500000000295e+00 5.000000000000000000e+00 1.873899999999999958e-03
1.042973200000000045e+00 2.079445200000000114e+03 -4.965933899999999568e+00 5.100000000000000000e+01 -1.837696000000000052e-01
2.928309000000000051e-01 2.079447999999999865e+03 2.480563015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.876357000000000275e-01 2.079447999999999865e+03 -5.133882800000000302e+00 5.000000000000000000e+00 1.702799999999999973e-03
1.044429499999999900e+00 2.079447999999999865e+03 -4.965087200000000145e+00 5.100000000000000000e+01 -1.790557000000000121e-01
2.862251000000000101e-01 2.079451000000000022e+03 2.480564015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
8.949863999999999598e-01 2.079450699999999870e+03 -5.132233399999999612e+00 5.000000000000000000e+00 1.531599999999999932e-03
1.045881700000000025e+00 2.079450699999999870e+03 -4.964231100000000119e+00 5.100000000000000000e+01 -1.743394000000000055e-01
2.796717000000000231e-01 2.079452999999999975e+03 2.480565015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
9.023352999999999513e-01 2.079453500000000076e+03 -5.130573300000000003e+00 5.000000000000000000e+00 1.360499999999999947e-03
1.047329699999999919e+00 2.079453500000000076e+03 -4.963365800000000050e+00 5.100000000000000000e+01 -1.696206000000000103e-01
2.731745999999999897e-01 2.079456000000000131e+03 2.480566015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
9.096821999999999964e-01 2.079456200000000081e+03 -5.128902400000000306e+00 5.000000000000000000e+00 1.189299999999999906e-03
1.048773500000000025e+00 2.079456200000000081e+03 -4.962491499999999611e+00 5.100000000000000000e+01 -1.648991999999999958e-01
2.667380999999999780e-01 2.079458999999999833e+03 2.480567015300000086e+06 5.000000000000000000e+00 1.000000000000000000e+00
9.170272999999999897e-01 2.079458900000000085e+03 -5.127220799999999912e+00 5.000000000000000000e+00 1.018199999999999921e-03
