a e i Om w M year jd number node
3.160798259939589183e+00 6.061884963688295436e-01 7.033780435620541027e+01 2.831497036864165580e+02 1.701985734096955696e+02 -1.392548322226369066e+02 1.973182999999999993e+03 2.441750460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.113639617698757522e+00 6.314690765543164996e-01 7.064252630959315127e+01 2.833073937086366527e+02 1.700790995885211601e+02 -7.237919522678694761e+01 1.963185999999999922e+03 2.438098460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.101099385649197959e+00 6.367357302850303880e-01 7.085435518493207496e+01 2.833266284737494516e+02 1.699827459519515287e+02 -1.047659131252073905e+01 1.953185999999999922e+03 2.434446460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.096658366248641769e+00 6.380832444639650269e-01 7.093993255467546533e+01 2.832853010469087849e+02 1.699917926347320076e+02 4.952238352118613562e+01 1.943189000000000078e+03 2.430794460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.098227570855653479e+00 6.379175362310183228e-01 7.089780781022277267e+01 2.832610129353059847e+02 1.700342197513351152e+02 1.091804445669263828e+02 1.933189000000000078e+03 2.427142460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.104777151909877908e+00 6.367030126181325578e-01 7.072030465291821599e+01 2.832564929612975675e+02 1.699276378374110834e+02 1.699300939285824938e+02 1.923192000000000007e+03 2.423490460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.123940019665833123e+00 6.327812392259922758e-01 7.065838211968035409e+01 2.833042084847687079e+02 1.694110819770971545e+02 -1.265473037215518275e+02 1.913192000000000007e+03 2.419838460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.128790687102579682e+00 6.315390063760142336e-01 7.027223065516811573e+01 2.833780385357520117e+02 1.692982988778436493e+02 -5.684420640924722079e+01 1.903193999999999960e+03 2.416186460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.082987435111816943e+00 6.580303698148549651e-01 7.085864402158158271e+01 2.836018387401067002e+02 1.692111292378810106e+02 1.813452118194750273e+00 1.893192000000000007e+03 2.412534460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.071328095435844396e+00 6.622686349503255077e-01 7.105939065076726990e+01 2.836043734744635003e+02 1.691574933316146030e+02 5.431965798906839638e+01 1.883193999999999960e+03 2.408882460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.068610685827505069e+00 6.629893081226788665e-01 7.110626037534072452e+01 2.835678715633525826e+02 1.691867936822384593e+02 1.049705553398227664e+02 1.873193999999999960e+03 2.405230460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.072038467420691088e+00 6.624385874879272773e-01 7.098149188500569551e+01 2.835520785099715226e+02 1.691593711962641180e+02 1.556921472307283807e+02 1.863196999999999889e+03 2.401578460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.087083117235904783e+00 6.595900538368630883e-01 7.072870542021011886e+01 2.835603331749885001e+02 1.688034468568602620e+02 -1.514593707517131804e+02 1.853196999999999889e+03 2.397926460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.089002977315985277e+00 6.595157664783526386e-01 7.068585677246382204e+01 2.836449884480542778e+02 1.687512197880977567e+02 -9.459779563392488910e+01 1.843200000000000045e+03 2.394274460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.043767336173426763e+00 6.882024060810700838e-01 7.119039857332288079e+01 2.838671331424725963e+02 1.686955232633588082e+02 -4.921586111800718299e+01 1.833200000000000045e+03 2.390622460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.034090520667830138e+00 6.918254583287180015e-01 7.137711505165204073e+01 2.838552204579979161e+02 1.686388334975846703e+02 -9.346993450098688427e+00 1.823202999999999975e+03 2.386970460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.033405211267691026e+00 6.922108743328839742e-01 7.138707518497281512e+01 2.838071097026846701e+02 1.686623773665988608e+02 2.941881987041917057e+01 1.813202999999999975e+03 2.383318460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.042271050846002467e+00 6.909008565972220017e-01 7.115123303565061974e+01 2.838076396918504543e+02 1.685642370471252889e+02 6.945379130612643337e+01 1.803204999999999927e+03 2.379666460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.081770303593634353e+00 6.952384023090756315e-01 7.011598905274817639e+01 2.841147926085902213e+02 1.667291613841217668e+02 1.200631058628754175e+02 1.793202999999999975e+03 2.376014460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.074790876021807229e+00 6.976504135820593699e-01 7.037151223812918488e+01 2.841452759483792647e+02 1.667776221841492088e+02 1.745870214405515242e+02 1.783204999999999927e+03 2.372362460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.065671091962136163e+00 7.018853361091831333e-01 7.029886496540794383e+01 2.842148504744771458e+02 1.666549984138549974e+02 -1.353847212201656589e+02 1.773204999999999927e+03 2.368710460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.062246962313226017e+00 7.036053070303748269e-01 7.040433090298840568e+01 2.841713730447661419e+02 1.666209516969376523e+02 -8.695346938619702826e+01 1.763208000000000084e+03 2.365058460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.064070673439064141e+00 7.036134222013820105e-01 7.036267433120646331e+01 2.841419294661437220e+02 1.666483766400554885e+02 -3.844216096271947691e+01 1.753208000000000084e+03 2.361406460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.077227180563068210e+00 7.018154385796742112e-01 7.003269762935741483e+01 2.841645732831231612e+02 1.664552518168358688e+02 1.253992007877720027e+01 1.743211000000000013e+03 2.357754460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.044782330221176281e+00 7.325587396959293285e-01 7.011259032515943090e+01 2.844848451179727817e+02 1.663829553993301715e+02 6.635495777271522400e+01 1.733211000000000013e+03 2.354102460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.036490095048271609e+00 7.364200154594509051e-01 7.028173523921806520e+01 2.845033948846075305e+02 1.663549880401821497e+02 1.084222865799002875e+02 1.723213999999999942e+03 2.350450460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.033395254738001423e+00 7.372431692939480641e-01 7.026212054522609662e+01 2.845283637477554635e+02 1.662924132912424398e+02 1.473743839340166346e+02 1.713213999999999942e+03 2.346798460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.033400264865482310e+00 7.380433669317491008e-01 7.028691181693304202e+01 2.844827645080622460e+02 1.662480802089108067e+02 -1.742879883907995406e+02 1.703215999999999894e+03 2.343146460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.041184630843235759e+00 7.374647898956870895e-01 7.014057754476070272e+01 2.844753218926148293e+02 1.661847756507398799e+02 -1.343034092231864065e+02 1.693213999999999942e+03 2.339494460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.090320115259958644e+00 7.381244943329720032e-01 6.878194589111689083e+01 2.847741289222768160e+02 1.648180895671187329e+02 -8.063137178302602592e+01 1.683215999999999894e+03 2.335842460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.075917843672455465e+00 7.448904069075278356e-01 6.888700205420909128e+01 2.848967876396365000e+02 1.648667738814041002e+02 -2.538571572328181603e+01 1.673215999999999894e+03 2.332190460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.069955476761739188e+00 7.472544692330526095e-01 6.897792503369275607e+01 2.848934594701651122e+02 1.647997283426869330e+02 2.647203954997838338e+01 1.663219000000000051e+03 2.328538460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.068827834963472334e+00 7.476201771815312869e-01 6.898653055621780084e+01 2.848715081364355228e+02 1.647949340070476580e+02 7.665342014593677789e+01 1.653219000000000051e+03 2.324886460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.070466978622411247e+00 7.477531610753235247e-01 6.893378676068201116e+01 2.848500425420770625e+02 1.647544098621692115e+02 1.271159039395121511e+02 1.643221999999999980e+03 2.321234460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.080367567063659440e+00 7.471183175905607987e-01 6.875029595971074059e+01 2.848433138095018080e+02 1.646456929508060227e+02 -1.799260639810981672e+02 1.633221999999999980e+03 2.317582460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.132922340695971641e+00 7.482016300792778685e-01 6.732875377462057997e+01 2.851379444845566695e+02 1.633850551044096449e+02 -1.123953463775370096e+02 1.623224999999999909e+03 2.313930460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.114742984087691013e+00 7.568142114852419722e-01 6.740910089623534418e+01 2.853161211413828369e+02 1.635976550470521431e+02 -4.469531124369625275e+01 1.613224999999999909e+03 2.310278460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.105936701002591782e+00 7.606483844586557908e-01 6.748656817091746518e+01 2.853709374991020695e+02 1.635433283878895736e+02 1.925338871894390991e+01 1.603227000000000089e+03 2.306626460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.102241784092814036e+00 7.617771091466404298e-01 6.755282012697884397e+01 2.853425691651480633e+02 1.635338423738443510e+02 8.085234019470217959e+01 1.593227000000000089e+03 2.302974460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.100404869979389577e+00 7.621527729146176933e-01 6.753022636098245357e+01 2.853317368285050293e+02 1.634849268590435543e+02 1.414294955415196853e+02 1.583230000000000018e+03 2.299322460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.103103983400746113e+00 7.625660563355651789e-01 6.752125123254947425e+01 2.852882006458228830e+02 1.634600562690441450e+02 -1.576177713538282887e+02 1.573202999999999975e+03 2.295670460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.113222132222630112e+00 7.616953022061431211e-01 6.728777126850120283e+01 2.853013056286924893e+02 1.633634733308066131e+02 -9.444038086553247524e+01 1.563204999999999927e+03 2.292018460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.160672704981606351e+00 7.587080905015897159e-01 6.605788505384755638e+01 2.855181329967973625e+02 1.623847749005649632e+02 -2.079426870995812848e+01 1.553204999999999927e+03 2.288366460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.134318288370877781e+00 7.715356805132276286e-01 6.617269442569867977e+01 2.857510181442967223e+02 1.628605803748752976e+02 5.560696058291999577e+01 1.543208000000000084e+03 2.284714460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.123583187952192031e+00 7.761617258300277378e-01 6.630590446804053784e+01 2.858142471016306558e+02 1.629260230169569752e+02 1.261670193103245765e+02 1.533208000000000084e+03 2.281062460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.119850739439634424e+00 7.771093166782394590e-01 6.627184507581424100e+01 2.858883705746871442e+02 1.628751908253179863e+02 -1.662196202871766388e+02 1.523211000000000013e+03 2.277410460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.114440701953335999e+00 7.797796401527161692e-01 6.634081874771989362e+01 2.858821642815110522e+02 1.627870231488033141e+02 -1.006419734040303098e+02 1.513211000000000013e+03 2.273758460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.112549781580900010e+00 7.806848532813398522e-01 6.639725525110308979e+01 2.858376786979459894e+02 1.627897229552195029e+02 -3.599164740218282788e+01 1.503213999999999942e+03 2.270106460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.116228647537634178e+00 7.804498762956103564e-01 6.627556856864065082e+01 2.858158023014750029e+02 1.627804213996356566e+02 2.918176103362949547e+01 1.493213999999999942e+03 2.266454460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.130109959931801189e+00 7.792435137693372038e-01 6.588543977568461685e+01 2.858584556416122382e+02 1.625869653823077101e+02 9.676805902774825086e+01 1.483215999999999894e+03 2.262802460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.182739898452549898e+00 7.828669391772902220e-01 6.428345558282478578e+01 2.861404600554386661e+02 1.615971948806038654e+02 1.734793537485134323e+02 1.473215999999999894e+03 2.259150460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.184375748179401722e+00 7.837593903329942435e-01 6.449671769722945669e+01 2.862517647351617143e+02 1.615912398005571049e+02 -9.978222495199892705e+01 1.463219000000000051e+03 2.255498460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.157240279984422582e+00 7.957887010892240598e-01 6.427854596103165363e+01 2.864649058195670364e+02 1.621194636193394842e+02 -2.207120831930037497e+01 1.453219000000000051e+03 2.251846460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.144475586624054575e+00 8.014370841258448008e-01 6.433038951820522300e+01 2.866034435323667253e+02 1.622417031586602150e+02 5.268487763136622704e+01 1.443221999999999980e+03 2.248194460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.136592407929885695e+00 8.046494112882814909e-01 6.440403705392478173e+01 2.866552243361365981e+02 1.622384121273885569e+02 1.252378464331835488e+02 1.433221999999999980e+03 2.244542460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.131797924885968865e+00 8.060683112349732449e-01 6.439774801950406413e+01 2.866602611505760478e+02 1.621854593196709686e+02 -1.637397470595336415e+02 1.423224999999999909e+03 2.240890460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.131748281443551551e+00 8.064907180316981394e-01 6.434784069240811277e+01 2.866296449348021156e+02 1.621425692353136299e+02 -9.348019591911474890e+01 1.413224999999999909e+03 2.237238460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
3.134561589403712656e+00 8.067081911848132947e-01 6.430159223542464986e+01 2.866242325045078587e+02 1.621307339969589520e+02 -2.303683642838555556e+01 1.403227000000000089e+03 2.233586460299999919e+06 1.300000000000000000e+01 0.000000000000000000e+00
