ID,distance,year,jd,planet,number
14044,0.3133656,2115.071,2493573.4373,5.0,182.0
14064,0.3209964,2079.432,2480557.1758,5.0,183.0
14159,0.2969582,2138.766,2502228.0095,5.0,184.0
14232,0.3091715,2067.592,2476232.4542,5.0,185.0
14281,0.2998833,2055.749,2471906.8978,5.0,186.0
14333,0.292995,2067.595,2476233.6845,5.0,187.0
14417,0.2906988,2079.462,2480568.1634,5.0,188.0
14596,0.3026217,2150.655,2506570.6903,5.0,189.0
14674,0.2869782,2150.646,2506567.4194,5.0,190.0
14732,0.3019839,2079.447,2480562.7229,5.0,191.0
14898,0.3050868,2067.596,2476234.0099,5.0,192.0
14925,0.3177659,2067.657,2476256.3958,5.0,193.0
15053,0.2906914,2067.64,2476250.1728,5.0,194.0
15175,0.3045015,2150.623,2506558.7731,5.0,195.0
15224,0.300867,2079.44,2480560.2343,5.0,196.0
15334,0.3183894,2055.848,2471943.1747,5.0,197.0
15362,0.3059584,2055.78,2471918.3391,5.0,198.0
15467,0.3126385,2138.848,2502258.103,5.0,199.0
15540,0.313277,2067.598,2476234.6178,5.0,200.0
15655,0.3085927,2067.592,2476232.5893,5.0,201.0
15753,0.2973972,2221.795,2532553.7437,5.0,202.0
15832,0.2968439,2067.659,2476256.9859,5.0,203.0
15979,0.3148728,2055.829,2471936.2329,5.0,204.0
16019,0.2941671,2387.845,2593201.9758,5.0,205.0
16052,0.3170455,2115.061,2493569.8615,5.0,206.0
16083,0.3119904,2055.802,2471926.379,5.0,207.0
16139,0.2983236,2138.77,2502229.6299,5.0,208.0
16261,0.3141964,2138.757,2502224.9325,5.0,209.0
16318,0.2999218,2055.749,2471906.7571,5.0,210.0
16390,0.3080909,2138.856,2502260.7599,5.0,211.0
16476,0.2871025,2150.646,2506567.4511,5.0,212.0
16529,0.3127469,2150.683,2506580.6368,5.0,213.0
16587,0.3029494,2221.84,2532570.1779,5.0,214.0
16652,0.3045289,2257.383,2545552.3715,5.0,215.0
16709,0.3029202,2281.1,2554215.0969,5.0,216.0
16758,0.3004123,2067.656,2476255.7845,5.0,217.0
16870,0.3151301,2328.557,2571547.1919,5.0,218.0
16909,0.3217482,2067.61,2476239.0143,5.0,219.0
16986,0.2825185,2079.449,2480563.4845,5.0,220.0
17156,0.289224,2067.613,2476240.1218,5.0,221.0
17285,0.3069836,2079.487,2480577.3268,5.0,222.0
17387,0.3047943,2115.066,2493571.7209,5.0,223.0
17400,0.3048525,2067.591,2476232.3529,5.0,224.0
17485,0.3099395,2055.77,2471914.5633,5.0,225.0
17537,0.298339,2079.44,2480560.0588,5.0,226.0
17639,0.3198421,2067.593,2476233.1273,5.0,227.0
17728,0.2944299,2067.596,2476233.8587,5.0,228.0
17808,0.3014413,2079.486,2480577.0105,5.0,229.0
17933,0.2938736,2067.596,2476233.9603,5.0,230.0
18009,0.3204699,2067.597,2476234.3538,5.0,231.0
18134,0.3095948,2115.063,2493570.5981,5.0,232.0
18174,0.3213528,2055.858,2471946.6156,5.0,233.0
18201,0.3145648,2257.38,2545551.3076,5.0,234.0
18249,0.3116343,2055.747,2471906.0615,5.0,235.0
18299,0.3155615,2233.676,2536893.1187,5.0,236.0
18349,0.2961152,2067.653,2476254.9761,5.0,237.0
18464,0.2926559,2067.596,2476233.8746,5.0,238.0
18560,0.3102819,2067.595,2476233.5065,5.0,239.0
18633,0.2976168,2067.593,2476233.0216,5.0,240.0
18733,0.3162529,2067.658,2476256.7517,5.0,241.0
18849,0.3009277,2079.441,2480560.3365,5.0,242.0
18927,0.3136549,2067.66,2476257.4427,5.0,243.0
19019,0.3048221,2067.594,2476233.381,5.0,244.0
19064,0.3187913,2067.7,2476271.9683,5.0,245.0
19153,0.3055492,2055.75,2471907.1914,5.0,246.0
19211,0.3040258,2150.7,2506587.1421,5.0,247.0
19286,0.2978449,2067.594,2476233.3413,5.0,248.0
19369,0.2940761,2067.595,2476233.5967,5.0,249.0
19440,0.2978366,2079.447,2480562.7886,5.0,250.0
19576,0.2945272,2067.595,2476233.7502,5.0,251.0
19653,0.3109887,2055.752,2471907.881,5.0,252.0
19694,0.3007467,2138.768,2502228.9846,5.0,253.0
19738,0.2989061,2067.592,2476232.6481,5.0,254.0
19793,0.2975982,2079.441,2480560.2884,5.0,255.0
19879,0.3159523,2138.758,2502225.0638,5.0,256.0
19947,0.3095052,2067.599,2476235.0667,5.0,257.0
20071,0.2883168,2067.611,2476239.6722,5.0,258.0
20194,0.2954951,2067.655,2476255.611,5.0,259.0
20276,0.3073776,2067.592,2476232.5408,5.0,260.0
20378,0.3025154,2067.596,2476234.1726,5.0,261.0
20503,0.3044027,2055.751,2471907.5359,5.0,262.0
20549,0.3142934,2150.628,2506560.659,5.0,263.0
20614,0.3024857,2316.724,2567225.3826,5.0,264.0
20707,0.2981242,2067.614,2476240.4833,5.0,265.0
20846,0.2994396,2079.439,2480559.9031,5.0,266.0
20950,0.3043441,2067.6,2476235.6339,5.0,267.0
21075,0.3098782,2067.615,2476241.0556,5.0,268.0
21206,0.3065641,2079.463,2480568.515,5.0,269.0
21366,0.306651,2115.066,2493571.7202,5.0,270.0
21408,0.319757,2067.636,2476248.5544,5.0,271.0
21493,0.3056672,2067.598,2476234.7787,5.0,272.0
21610,0.296979,2257.381,2545551.6077,5.0,273.0
21656,0.3015464,2067.616,2476241.4649,5.0,274.0
21745,0.3191306,2067.599,2476235.1761,5.0,275.0
21874,0.2981579,2055.752,2471908.0898,5.0,276.0
21935,0.319532,2067.621,2476243.3405,5.0,277.0
22099,0.3004062,2055.784,2471919.5948,5.0,278.0
22178,0.3081697,2150.621,2506558.2274,5.0,279.0
22248,0.2982568,2067.596,2476234.1471,5.0,280.0
22312,0.29476,2067.613,2476240.3665,5.0,281.0
22429,0.3194538,2055.81,2471928.9782,5.0,282.0
22466,0.3173077,2067.597,2476234.5601,5.0,283.0
22635,0.3183061,2067.634,2476248.0723,5.0,284.0
22764,0.3207404,2138.818,2502247.0607,5.0,285.0
22858,0.3038765,2055.784,2471919.7711,5.0,286.0
22916,0.3213882,2079.433,2480557.5253,5.0,287.0
23012,0.2909409,2079.448,2480562.948,5.0,288.0
23176,0.313697,2115.067,2493571.9813,5.0,289.0
23236,0.3043515,2067.592,2476232.4746,5.0,290.0
23335,0.2899815,2079.448,2480563.084,5.0,291.0
23480,0.2976352,2079.44,2480560.2239,5.0,292.0
23586,0.3015543,2115.087,2493579.0731,5.0,293.0
23613,0.32179,2079.449,2480563.3525,5.0,294.0
23814,0.3139003,2115.063,2493570.5764,5.0,295.0
23862,0.2913529,2067.596,2476234.1562,5.0,296.0
23935,0.3148698,2055.841,2471940.6465,5.0,297.0
23981,0.3113624,2138.76,2502225.8096,5.0,298.0
24055,0.3085031,2055.778,2471917.5524,5.0,299.0
24136,0.3170332,2055.757,2471909.7445,5.0,300.0
24177,0.3102177,2138.76,2502225.7375,5.0,301.0
24246,0.3086632,2150.641,2506565.3123,5.0,302.0
24323,0.3012818,2079.44,2480560.2281,5.0,303.0
24425,0.3201322,2055.782,2471918.8817,5.0,304.0
24491,0.3048917,2115.066,2493571.4256,5.0,305.0
24522,0.3060613,2138.796,2502238.9286,5.0,306.0
24584,0.2882935,2067.611,2476239.3969,5.0,307.0
24705,0.3062572,2067.588,2476230.9583,5.0,308.0
24753,0.2998053,2079.439,2480559.8489,5.0,309.0
24843,0.3197629,2257.391,2545555.3041,5.0,310.0
24867,0.2978493,2067.592,2476232.5419,5.0,311.0
24951,0.2999644,2079.439,2480559.8886,5.0,312.0
25052,0.3131634,2055.755,2471909.2419,5.0,313.0
25100,0.2962347,2067.64,2476250.1815,5.0,314.0
25211,0.3191101,2257.365,2545545.5433,5.0,315.0
25247,0.2861352,2079.484,2480576.0224,5.0,316.0
25393,0.3095899,2138.797,2502239.5515,5.0,317.0
25529,0.2990855,2067.612,2476240.0081,5.0,318.0
25698,0.2916254,2067.613,2476240.2481,5.0,319.0
25822,0.3139919,2067.634,2476247.9044,5.0,320.0
25968,0.3086883,2067.6,2476235.4504,5.0,321.0
26089,0.3033279,2067.614,2476240.5164,5.0,322.0
26213,0.307174,2115.069,2493572.8278,5.0,323.0
26258,0.3177445,2115.067,2493572.0846,5.0,324.0
26296,0.2961743,2079.447,2480562.7395,5.0,325.0
26425,0.2893099,2221.799,2532555.0885,5.0,326.0
26481,0.3186705,2387.908,2593225.0767,5.0,327.0
26518,0.3088687,2115.066,2493571.7245,5.0,328.0
26535,0.2996621,2221.84,2532570.2106,5.0,329.0
26586,0.3073304,2067.612,2476239.7935,5.0,330.0
26645,0.291623,2138.794,2502238.1701,5.0,331.0
26741,0.3137427,2055.778,2471917.5683,5.0,332.0
26825,0.2841241,2067.614,2476240.6737,5.0,333.0
26924,0.3177442,2328.564,2571549.8141,5.0,334.0
26976,0.3071331,2067.591,2476232.2677,5.0,335.0
27031,0.3189312,2067.589,2476231.3801,5.0,336.0
27070,0.313811,2079.435,2480558.3893,5.0,337.0
27195,0.2978124,2055.754,2471908.6956,5.0,338.0
27263,0.3019673,2150.662,2506573.2755,5.0,339.0
27343,0.3205998,2150.743,2506602.7183,5.0,340.0
27375,0.3004269,2067.613,2476240.3135,5.0,341.0
27503,0.3079214,2067.592,2476232.4569,5.0,342.0
27601,0.3064587,2067.598,2476234.6499,5.0,343.0
27707,0.3123215,2150.634,2506563.0345,5.0,344.0
27757,0.3065108,2067.677,2476263.6885,5.0,345.0
27904,0.3087219,2150.622,2506558.5056,5.0,346.0
27943,0.3112138,2150.62,2506557.9823,5.0,347.0
27978,0.3032491,2067.591,2476232.3048,5.0,348.0
28065,0.3062278,2067.622,2476243.5649,5.0,349.0
28200,0.3053473,2115.066,2493571.4566,5.0,350.0
28260,0.3180057,2150.705,2506588.7204,5.0,351.0
28285,0.3034674,2150.641,2506565.4658,5.0,352.0
28336,0.3176811,2055.746,2471905.9503,5.0,353.0
28370,0.3048314,2150.701,2506587.5073,5.0,354.0
28418,0.3019772,2055.749,2471906.9732,5.0,355.0
28462,0.3071454,2079.464,2480568.7758,5.0,356.0
28646,0.2989547,2079.44,2480559.9249,5.0,357.0
28730,0.3131953,2150.646,2506567.4579,5.0,358.0
28784,0.2975558,2079.465,2480569.3544,5.0,359.0
28988,0.317724,2115.068,2493572.3608,5.0,360.0
29020,0.3073871,2079.449,2480563.4221,5.0,361.0
29179,0.2947356,2067.595,2476233.8005,5.0,362.0
29287,0.2993308,2067.593,2476232.8382,5.0,363.0
29347,0.2976799,2257.379,2545550.8514,5.0,364.0
29388,0.2900378,2079.448,2480563.1091,5.0,365.0
29544,0.3067927,2055.781,2471918.5071,5.0,366.0
29619,0.32019,2067.635,2476248.0979,5.0,367.0
29773,0.3184375,2079.433,2480557.5915,5.0,368.0
29915,0.2946491,2067.598,2476234.9504,5.0,369.0
30033,0.2896031,2079.447,2480562.5578,5.0,370.0
30115,0.2927187,2067.595,2476233.6273,5.0,371.0
30152,0.3066347,2067.602,2476236.0935,5.0,372.0
30257,0.3161501,2055.753,2471908.1871,5.0,373.0
30294,0.2917603,2079.448,2480563.0956,5.0,374.0
30463,0.3187552,2067.702,2476272.7498,5.0,375.0
30591,0.316233,2067.596,2476234.0439,5.0,376.0
30694,0.3096349,2067.608,2476238.5601,5.0,377.0
30759,0.2926613,2067.595,2476233.6243,5.0,378.0
30837,0.309866,2079.448,2480563.1719,5.0,379.0
31003,0.2973422,2067.594,2476233.4352,5.0,380.0
31051,0.3187441,2150.643,2506566.1076,5.0,381.0
