distance year jd planet number
2.523855999999999877e-01 1.699954999999999927e+03 2.341956168300000019e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.614828000000000152e-01 1.699942000000000007e+03 2.341951310200000182e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.758695999999999926e-01 1.699928000000000111e+03 2.341946331300000194e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.955341000000000218e-01 1.699913999999999987e+03 2.341941135799999814e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.881260999999999961e-01 1.616989000000000033e+03 2.311653306299999822e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.723849999999999882e-01 1.616972999999999956e+03 2.311647502900000196e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.637617999999999907e-01 1.616958000000000084e+03 2.311642052999999840e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.616685000000000261e-01 1.616943999999999960e+03 2.311636842900000047e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.656217000000000161e-01 1.616930000000000064e+03 2.311631719399999827e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.752623000000000153e-01 1.616915999999999940e+03 2.311626602599999867e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.904067000000000176e-01 1.616901000000000067e+03 2.311621370300000068e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.763786999999999772e-01 1.581355000000000018e+03 2.298648035600000061e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.598929999999999851e-01 1.581339999999999918e+03 2.298642458800000139e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.503159999999999830e-01 1.581325000000000045e+03 2.298637260699999984e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.470076999999999967e-01 1.581311999999999898e+03 2.298632205800000113e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.496044000000000040e-01 1.581298000000000002e+03 2.298627376399999950e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.576486000000000054e-01 1.581285000000000082e+03 2.298622550400000066e+06 5.000000000000000000e+00 8.500000000000000000e+01
2.709377000000000035e-01 1.581271999999999935e+03 2.298617633400000166e+06 5.000000000000000000e+00 8.500000000000000000e+01
