a e i Om w M year jd number v
3.118266753999999974e+00 6.177315060000000413e-01 7.085133532300000070e+01 2.828967783520000125e+02 1.714187454489999993e+02 9.653405330000000006e-01 2.003179697755999996e+03 2.452705893197997008e+06 1.400000000000000000e+01 5.207208632999999587e+00
3.140347989999999978e+00 6.204389049999999850e-01 7.076785466100000122e+01 2.829018191399999864e+02 1.713438553640000066e+02 1.029411590000000043e+00 2.003180845352000006e+03 2.452706312348468229e+06 1.500000000000000000e+01 5.541432495999999652e+00
3.114740793000000174e+00 6.172959070000000326e-01 7.078885302300000149e+01 2.829015113140000039e+02 1.715389004250000085e+02 2.168370719999999918e-01 2.003168242838999959e+03 2.452701709378734231e+06 1.600000000000000000e+01 1.304088764999999928e+00
3.125583454000000039e+00 6.186419399999999458e-01 7.079977091300000325e+01 2.829000306959999875e+02 1.712353000269999939e+02 2.874532100000000145e-01 2.003169344108999894e+03 2.452702111609198153e+06 1.700000000000000000e+01 1.388063652999999897e+00
3.135565823999999946e+00 6.198164109999999560e-01 7.082341209300000173e+01 2.828986457230000156e+02 1.715232599219999940e+02 9.864777319999999960e-01 2.003180146815999933e+03 2.452706057213675231e+06 1.800000000000000000e+01 5.472730413999999932e+00
3.117639903000000157e+00 6.176513080000000100e-01 7.084286269899999411e+01 2.828969363439999825e+02 1.714368223570000112e+02 8.747035180000000132e-01 2.003178307315999973e+03 2.452705385350489058e+06 1.900000000000000000e+01 4.737371608000000123e+00
3.135599898999999802e+00 6.198733929999999948e-01 7.077863600000000588e+01 2.829013923709999858e+02 1.712964604469999870e+02 9.551282279999999680e-01 2.003179663530999960e+03 2.452705880697403103e+06 2.000000000000000000e+01 5.078430962999999743e+00
3.146062992000000058e+00 6.210995700000000452e-01 7.077453598200000329e+01 2.829011946420000072e+02 1.714591171870000039e+02 1.101375130000000091e+00 2.003182004336000091e+03 2.452706735658354126e+06 2.100000000000000000e+01 6.063542584000000346e+00
3.108981785000000109e+00 6.165716030000000236e-01 7.079505484099999535e+01 2.829002955330000191e+02 1.714907987409999919e+02 9.868415699999999458e-01 2.003179959270999916e+03 2.452705988714335021e+06 2.200000000000000000e+01 5.369870327000000110e+00
3.121602273000000149e+00 6.181549480000000374e-01 7.081405753800000014e+01 2.828981096709999861e+02 1.712419466249999971e+02 2.821079189999999848e-01 2.003169253786999889e+03 2.452702078619834036e+06 2.300000000000000000e+01 1.362067445999999959e+00
3.111474207000000103e+00 6.168927220000000045e-01 7.076916142299999990e+01 2.829037791960000163e+02 1.715018643010000119e+02 3.537315839999999878e-01 2.003170324765000032e+03 2.452702469786120113e+06 2.400000000000000000e+01 1.999697499999999906e+00
3.141822354999999956e+00 6.206074620000000541e-01 7.077175880800000130e+01 2.829035713499999929e+02 1.713369101240000134e+02 3.401580860000000262e-01 2.003170193879999943e+03 2.452702421981326770e+06 2.500000000000000000e+01 1.790885545999999939e+00
3.140236832999999894e+00 6.204058890000000437e-01 7.084180353399999319e+01 2.828971274840000092e+02 1.714271131410000066e+02 8.937271620000000194e-01 2.003178747072000078e+03 2.452705545967952814e+06 2.600000000000000000e+01 4.886196705999999779e+00
3.121315984999999849e+00 6.181222849999999935e-01 7.083958796199999597e+01 2.828974025609999785e+02 1.713433551340000065e+02 9.491330829999999885e-01 2.003179471143000001e+03 2.452705810429433826e+06 2.700000000000000000e+01 5.053503924000000147e+00
3.142071650000000105e+00 6.206521590000000366e-01 7.078091242499999680e+01 2.829011619899999914e+02 1.713207508369999914e+02 9.901532189999999733e-01 2.003180251061000035e+03 2.452706095288136043e+06 2.800000000000000000e+01 5.310034117999999914e+00
3.108397581000000187e+00 6.165213819999999512e-01 7.076833363100000440e+01 2.829048438770000189e+02 1.714832082030000038e+02 5.544201800000000263e-02 2.003165775701000030e+03 2.452700808276060969e+06 2.900000000000000000e+01 3.816384400000000232e-01
3.138647308999999996e+00 6.202168829999999966e-01 7.083675062499999342e+01 2.828945405019999839e+02 1.714674945010000044e+02 1.004876269999999960e-01 2.003166483847000109e+03 2.452701066920672078e+06 3.000000000000000000e+01 6.122013090000000268e-01
