distance year jd planet node number
5.803499999999999631e-03 2.833027000000000044e+03 2.755802505700000096e+06 3.000000000000000000e+00 2.792318999999999960e+02 9.830000000000000000e+02
5.669000000000000428e-03 2.585019999999999982e+03 2.665219835800000001e+06 3.000000000000000000e+00 2.801804000000000201e+02 1.036000000000000000e+03
4.852200000000000089e-03 2.585019999999999982e+03 2.665219921500000171e+06 3.000000000000000000e+00 2.802676999999999907e+02 1.036000000000000000e+03
4.745300000000000039e-03 2.585021000000000186e+03 2.665219990300000180e+06 3.000000000000000000e+00 2.803376999999999839e+02 1.036000000000000000e+03
5.116500000000000388e-03 2.585021000000000186e+03 2.665220053499999922e+06 3.000000000000000000e+00 2.804021000000000186e+02 1.036000000000000000e+03
5.875799999999999600e-03 2.585021000000000186e+03 2.665220118300000206e+06 3.000000000000000000e+00 2.804680999999999926e+02 1.036000000000000000e+03
5.851099999999999704e-03 2.641021000000000186e+03 2.685673291499999817e+06 3.000000000000000000e+00 2.792599999999999909e+02 1.469000000000000000e+03
5.049900000000000395e-03 2.641021999999999935e+03 2.685673381800000090e+06 3.000000000000000000e+00 2.793521000000000072e+02 1.469000000000000000e+03
4.972899999999999716e-03 2.641021999999999935e+03 2.685673454899999779e+06 3.000000000000000000e+00 2.794264999999999759e+02 1.469000000000000000e+03
5.386799999999999748e-03 2.641021999999999935e+03 2.685673522400000133e+06 3.000000000000000000e+00 2.794952999999999861e+02 1.469000000000000000e+03
5.532200000000000138e-03 2.558019999999999982e+03 2.655357856999999844e+06 3.000000000000000000e+00 2.801243000000000052e+02 1.657000000000000000e+03
5.321300000000000162e-03 2.558019999999999982e+03 2.655357933600000106e+06 3.000000000000000000e+00 2.802024000000000115e+02 1.657000000000000000e+03
5.653299999999999992e-03 2.558021000000000186e+03 2.655358004900000058e+06 3.000000000000000000e+00 2.802749999999999773e+02 1.657000000000000000e+03
5.388300000000000381e-03 2.560021999999999935e+03 2.656088461099999957e+06 3.000000000000000000e+00 2.802185999999999808e+02 1.911000000000000000e+03
3.559000000000000098e-03 2.560021999999999935e+03 2.656088546099999920e+06 3.000000000000000000e+00 2.803052000000000135e+02 1.911000000000000000e+03
2.504099999999999989e-03 2.560021999999999935e+03 2.656088602500000037e+06 3.000000000000000000e+00 2.803627000000000180e+02 1.911000000000000000e+03
1.980099999999999829e-03 2.560021999999999935e+03 2.656088641600000206e+06 3.000000000000000000e+00 2.804024999999999750e+02 1.911000000000000000e+03
1.811399999999999903e-03 2.560021999999999935e+03 2.656088670899999794e+06 3.000000000000000000e+00 2.804322999999999979e+02 1.911000000000000000e+03
1.868000000000000086e-03 2.560021999999999935e+03 2.656088695799999870e+06 3.000000000000000000e+00 2.804576000000000136e+02 1.911000000000000000e+03
2.084700000000000095e-03 2.560021999999999935e+03 2.656088719800000079e+06 3.000000000000000000e+00 2.804821000000000026e+02 1.911000000000000000e+03
2.425500000000000139e-03 2.560023000000000138e+03 2.656088744200000074e+06 3.000000000000000000e+00 2.805070000000000050e+02 1.911000000000000000e+03
2.851999999999999934e-03 2.560023000000000138e+03 2.656088769100000151e+06 3.000000000000000000e+00 2.805323999999999955e+02 1.911000000000000000e+03
3.406600000000000079e-03 2.560023000000000138e+03 2.656088797999999952e+06 3.000000000000000000e+00 2.805616999999999734e+02 1.911000000000000000e+03
4.140099999999999857e-03 2.560023000000000138e+03 2.656088833399999887e+06 3.000000000000000000e+00 2.805978000000000065e+02 1.911000000000000000e+03
5.151799999999999782e-03 2.560023000000000138e+03 2.656088879900000058e+06 3.000000000000000000e+00 2.806451999999999884e+02 1.911000000000000000e+03
4.892699999999999827e-03 2.836028999999999996e+03 2.756898237199999858e+06 3.000000000000000000e+00 2.791970999999999776e+02 1.950000000000000000e+03
4.302199999999999948e-03 2.836030000000000200e+03 2.756898311999999918e+06 3.000000000000000000e+00 2.792733000000000061e+02 1.950000000000000000e+03
4.302900000000000127e-03 2.836030000000000200e+03 2.756898373399999924e+06 3.000000000000000000e+00 2.793358999999999810e+02 1.950000000000000000e+03
4.709600000000000418e-03 2.836030000000000200e+03 2.756898430999999866e+06 3.000000000000000000e+00 2.793946000000000254e+02 1.950000000000000000e+03
5.458000000000000178e-03 2.836030000000000200e+03 2.756898491200000048e+06 3.000000000000000000e+00 2.794558999999999855e+02 1.950000000000000000e+03
5.296000000000000360e-03 2.722025999999999840e+03 2.715258912899999879e+06 3.000000000000000000e+00 2.791005000000000109e+02 2.217000000000000000e+03
3.926800000000000256e-03 2.722025999999999840e+03 2.715258998099999968e+06 3.000000000000000000e+00 2.791872999999999934e+02 2.217000000000000000e+03
3.356699999999999788e-03 2.722025999999999840e+03 2.715259057000000030e+06 3.000000000000000000e+00 2.792472999999999956e+02 2.217000000000000000e+03
3.252099999999999956e-03 2.722025999999999840e+03 2.715259094200000167e+06 3.000000000000000000e+00 2.792851999999999748e+02 2.217000000000000000e+03
3.297899999999999877e-03 2.722025999999999840e+03 2.715259116400000174e+06 3.000000000000000000e+00 2.793079000000000178e+02 2.217000000000000000e+03
3.396699999999999893e-03 2.722025999999999840e+03 2.715259134999999776e+06 3.000000000000000000e+00 2.793267999999999915e+02 2.217000000000000000e+03
3.569800000000000143e-03 2.722025999999999840e+03 2.715259156200000085e+06 3.000000000000000000e+00 2.793484000000000265e+02 2.217000000000000000e+03
3.865200000000000059e-03 2.722027000000000044e+03 2.715259182699999772e+06 3.000000000000000000e+00 2.793754000000000133e+02 2.217000000000000000e+03
4.353799999999999684e-03 2.722027000000000044e+03 2.715259217399999965e+06 3.000000000000000000e+00 2.794107000000000198e+02 2.217000000000000000e+03
