a e i Om w M year jd number node
2.833863388565999841e+00 6.645031169846999930e-01 7.158710789784250039e+01 2.836088351349082473e+02 1.728442759946386502e+02 2.245347266423977750e+00 1.729039999999999964e+03 2.352579261700000148e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.838777555837749933e+00 6.635182613988378497e-01 7.142855590843544178e+01 2.835922528424707707e+02 1.728054361198589675e+02 -3.160217639737621553e+01 1.719042999999999893e+03 2.348927261700000148e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.826321368453508232e+00 6.691420270669080628e-01 7.168567804936948562e+01 2.836530562765304921e+02 1.725985020744439282e+02 -6.534520825295392399e+01 1.709042999999999893e+03 2.345275261599999852e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.828682083398080138e+00 6.688926292974987087e-01 7.164968640322668136e+01 2.836351197395028976e+02 1.725298345281111665e+02 -1.030059777142218422e+02 1.699042999999999893e+03 2.341623261599999852e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.828683939420543414e+00 6.686996291359105227e-01 7.165707305905542057e+01 2.836748106316873645e+02 1.725016499362333491e+02 -1.392417175068737833e+02 1.689042999999999893e+03 2.337971261500000022e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.816366533327006039e+00 6.749148769222447219e-01 7.187708515226552208e+01 2.836805582531042660e+02 1.722878175137553569e+02 1.799210996534816047e+02 1.679046000000000049e+03 2.334319261500000022e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.821294095587843387e+00 6.744151905713610118e-01 7.178229211470939219e+01 2.836759942277685695e+02 1.722523344636935292e+02 1.393907733185430402e+02 1.669046000000000049e+03 2.330667261400000192e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.808020302062105955e+00 6.799768234011689394e-01 7.206937504992039578e+01 2.837214954360918568e+02 1.720894441245077076e+02 9.701546794063999357e+01 1.659048999999999978e+03 2.327015261299999896e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.812825465052342988e+00 6.791257367725004324e-01 7.190324544975905496e+01 2.836996284424560599e+02 1.720329930996669248e+02 5.260034589202030730e+01 1.649048999999999978e+03 2.323363261299999896e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.803857618342382452e+00 6.833908487172393187e-01 7.210793540087109932e+01 2.837350882844432931e+02 1.718708622903537844e+02 9.129912857136295301e+00 1.639050999999999931e+03 2.319711261200000066e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.804466021168428913e+00 6.835229376581241079e-01 7.209131545627043636e+01 2.837358350935817271e+02 1.718446827706278839e+02 -3.779491830340882075e+01 1.629050999999999931e+03 2.316059261200000066e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.808357061038204261e+00 6.825398351755277426e-01 7.194782059589691414e+01 2.837482344843596138e+02 1.717094971940764196e+02 -8.230575688454776184e+01 1.619054000000000087e+03 2.312407261099999771e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.801396827237162324e+00 6.856351665983001498e-01 7.215139750264366114e+01 2.837199558484699651e+02 1.716143155155226339e+02 -1.296235407537931792e+02 1.609054000000000087e+03 2.308755260999999940e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.810673796050608519e+00 6.840418927169681362e-01 7.189136365316298338e+01 2.837459209503641659e+02 1.714587054433610831e+02 -1.751028132654303420e+02 1.599057000000000016e+03 2.305103260999999940e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.803662721159549509e+00 6.862301094459881678e-01 7.203420344399962971e+01 2.837339739402439136e+02 1.714033365869179875e+02 1.393726777064240423e+02 1.589057000000000016e+03 2.301451260900000110e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.815137412129534500e+00 6.839205321370579460e-01 7.168405433337267141e+01 2.837543443426548038e+02 1.711296103066553087e+02 9.415497297638619045e+01 1.579031999999999925e+03 2.297799260900000110e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.811133539273388049e+00 6.856743128650101271e-01 7.177284098339400487e+01 2.837522162856471937e+02 1.710534356515142917e+02 5.193503440559124584e+01 1.569031999999999925e+03 2.294147260799999814e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.812262075048177046e+00 6.858110279866920234e-01 7.175221730832316780e+01 2.837581231133016786e+02 1.710270727031938520e+02 8.052404868484879685e+00 1.559035000000000082e+03 2.290495260799999814e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.824160321234430615e+00 6.833043020273471546e-01 7.141169448559878674e+01 2.838162766111216797e+02 1.706473402016534919e+02 -3.023555369677768212e+01 1.549035000000000082e+03 2.286843260699999984e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.820110908731833455e+00 6.847388333385232562e-01 7.152039906342791653e+01 2.837731540977523537e+02 1.706336274027693491e+02 -7.002353582433933354e+01 1.539038000000000011e+03 2.283191260600000154e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.835399611864974911e+00 6.817819140751454343e-01 7.109052624165624934e+01 2.838446194434870904e+02 1.702722512455689241e+02 -1.064922118999857759e+02 1.529038000000000011e+03 2.279539260600000154e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.830140137469689510e+00 6.833423854152078647e-01 7.117843334344588868e+01 2.838310209251172296e+02 1.702270036555103729e+02 -1.415039516125892476e+02 1.519039999999999964e+03 2.275887260499999858e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.842168364087855448e+00 6.809759523972742645e-01 7.088207598709250590e+01 2.838384627611955011e+02 1.699007030226396751e+02 -1.764126731969367086e+02 1.509039999999999964e+03 2.272235260499999858e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.840526845200743278e+00 6.816777496804610204e-01 7.089624987383450616e+01 2.838698976870747970e+02 1.699056273227285203e+02 1.524289137186027574e+02 1.499042999999999893e+03 2.268583260400000028e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.837831216056986516e+00 6.832994859502247165e-01 7.092758938822792913e+01 2.838507204971742794e+02 1.698059503340951721e+02 1.193029462745755893e+02 1.489042999999999893e+03 2.264931260400000028e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.847396659810089492e+00 6.817881376486388811e-01 7.067762374313291218e+01 2.838831229544670123e+02 1.696005764533727245e+02 8.931455114121888528e+01 1.479046000000000049e+03 2.261279260300000198e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.838880662208897121e+00 6.846499378996726559e-01 7.085922478347302444e+01 2.838688700643338052e+02 1.695483544564422971e+02 5.810142706782349364e+01 1.469046000000000049e+03 2.257627260199999902e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.847045542665016971e+00 6.834353026950591437e-01 7.062421793341714249e+01 2.838693751300306189e+02 1.694417933062117072e+02 2.686725055172575338e+01 1.459048999999999978e+03 2.253975260199999902e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.838771559532622835e+00 6.874029138349418977e-01 7.078570177799653607e+01 2.839036443905731630e+02 1.693162918280374072e+02 -3.094578228540192821e+00 1.449048999999999978e+03 2.250323260100000072e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.839005051219746001e+00 6.875400080174683959e-01 7.077511406699852614e+01 2.839017862237837448e+02 1.692959665871519803e+02 -3.612749443647518888e+01 1.439050999999999931e+03 2.246671260100000072e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.842149903527240173e+00 6.868842467935271090e-01 7.065854883129841824e+01 2.839189592328143021e+02 1.691935190245164620e+02 -6.714488494819022435e+01 1.429050999999999931e+03 2.243019259999999776e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.831116636259548347e+00 6.922696487458024350e-01 7.090792261899977689e+01 2.839286004857451076e+02 1.690807500735182316e+02 -1.019016191798935722e+02 1.419054000000000087e+03 2.239367259899999946e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.836402613706245912e+00 6.916925411982371985e-01 7.077999756076825122e+01 2.839211424181071948e+02 1.690514796707616370e+02 -1.366113545281927770e+02 1.409054000000000087e+03 2.235715259899999946e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.823430160332908390e+00 6.978911899271773578e-01 7.102423511625897845e+01 2.839941492303929067e+02 1.689382762530022148e+02 -1.724617129827948929e+02 1.399057000000000016e+03 2.232063259800000116e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.825931854587181657e+00 6.974610331492765436e-01 7.089541121573591909e+01 2.839707653802830691e+02 1.688848959754315615e+02 1.487910843619459058e+02 1.389057000000000016e+03 2.228411259800000116e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.815726225032899599e+00 7.032666508234100000e-01 7.115042022734567695e+01 2.840093428240767253e+02 1.687877363867473832e+02 1.111523214453188189e+02 1.379059999999999945e+03 2.224759259699999820e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.814943200886783625e+00 7.040009819918224832e-01 7.111453812085740367e+01 2.840343891515627206e+02 1.687232970265286269e+02 6.874492693519046327e+01 1.369059999999999945e+03 2.221107259699999820e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.818752632067587083e+00 7.036812530261933318e-01 7.100554327677419053e+01 2.840428070467474413e+02 1.686462716918574642e+02 2.779411094775991842e+01 1.359061999999999898e+03 2.217455259599999990e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.805983701239210149e+00 7.091881939708951643e-01 7.128658223003321837e+01 2.840674413110106116e+02 1.685578193491788852e+02 -1.622992308614074730e+01 1.349061999999999898e+03 2.213803259500000160e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.812408241479350757e+00 7.084946473346962481e-01 7.110835158192014660e+01 2.840575871855197079e+02 1.685053920678032284e+02 -6.082270518426717132e+01 1.339065000000000055e+03 2.210151259500000160e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.803040637261589030e+00 7.126054389508645892e-01 7.128121704664316383e+01 2.840968171713192874e+02 1.684072594922100450e+02 -1.053221017401723287e+02 1.329065000000000055e+03 2.206499259399999864e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.808629127859765262e+00 7.117738858459240481e-01 7.111369507356819497e+01 2.840768168557676745e+02 1.682661117318348545e+02 -1.520372075997912305e+02 1.319067999999999984e+03 2.202847259399999864e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.806531746812740646e+00 7.126702556261891308e-01 7.119947418344678169e+01 2.840964016261277152e+02 1.682822099693433699e+02 1.633153187573057608e+02 1.309067999999999984e+03 2.199195259300000034e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.802283366791892494e+00 7.150265224323449909e-01 7.121556627711592569e+01 2.840927683724719373e+02 1.681657697975732333e+02 1.159337893663613812e+02 1.299070999999999913e+03 2.195543259300000034e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.811318875644954751e+00 7.139273672958693640e-01 7.095319147941926019e+01 2.841248494206207624e+02 1.679759682593415562e+02 7.162002478877556655e+01 1.289070999999999913e+03 2.191891259200000204e+06 1.000000000000000000e+00 0.000000000000000000e+00
2.804381858962506691e+00 7.162793355814841556e-01 7.111486362013825158e+01 2.840950994197360728e+02 1.679384573629031081e+02 2.618249055844214723e+01 1.279073000000000093e+03 2.188239259099999908e+06 1.000000000000000000e+00 0.000000000000000000e+00
