X Y Z year
4.939919999999999867e+00 2.341364999999999974e-01 -1.101882000000000000e-01 2.675138800000000174e+03
4.939448600000000411e+00 2.420491999999999921e-01 -1.102138000000000007e-01 2.675141500000000178e+03
4.938964999999999606e+00 2.499612999999999974e-01 -1.102391999999999955e-01 2.675144299999999930e+03
4.938469399999999787e+00 2.578727000000000102e-01 -1.102642999999999956e-01 2.675146999999999935e+03
4.937961699999999787e+00 2.657836000000000087e-01 -1.102892000000000039e-01 2.675149699999999939e+03
4.937441899999999606e+00 2.736937999999999871e-01 -1.103137000000000006e-01 2.675152500000000146e+03
4.936910100000000412e+00 2.816033000000000008e-01 -1.103380000000000055e-01 2.675155200000000150e+03
4.936366099999999868e+00 2.895121999999999973e-01 -1.103620000000000018e-01 2.675157999999999902e+03
4.935810100000000311e+00 2.974203000000000263e-01 -1.103858000000000061e-01 2.675160699999999906e+03
4.935241999999999685e+00 3.053276999999999797e-01 -1.104093000000000019e-01 2.675163399999999911e+03
4.934661799999999765e+00 3.132344000000000239e-01 -1.104325000000000029e-01 2.675166200000000117e+03
4.934069599999999944e+00 3.211402999999999897e-01 -1.104553999999999953e-01 2.675168900000000122e+03
4.933465199999999662e+00 3.290453999999999879e-01 -1.104780999999999958e-01 2.675171699999999873e+03
4.932848800000000367e+00 3.369497000000000186e-01 -1.105005000000000015e-01 2.675174399999999878e+03
4.932220300000000002e+00 3.448532000000000264e-01 -1.105227000000000015e-01 2.675177099999999882e+03
4.931579700000000344e+00 3.527559000000000111e-01 -1.105445000000000039e-01 2.675179900000000089e+03
4.930926999999999616e+00 3.606576000000000226e-01 -1.105661000000000005e-01 2.675182600000000093e+03
4.930262299999999875e+00 3.685585000000000111e-01 -1.105874000000000024e-01 2.675185399999999845e+03
4.929585499999999954e+00 3.764584999999999737e-01 -1.106084999999999985e-01 2.675188099999999849e+03
4.928896599999999850e+00 3.843576000000000215e-01 -1.106292999999999999e-01 2.675190799999999854e+03
4.928195699999999846e+00 3.922557999999999878e-01 -1.106498000000000065e-01 2.675193600000000060e+03
4.927482699999999660e+00 4.001528999999999781e-01 -1.106700000000000045e-01 2.675196300000000065e+03
4.926757600000000181e+00 4.080490999999999979e-01 -1.106899999999999967e-01 2.675199099999999817e+03
4.926020499999999913e+00 4.159442999999999890e-01 -1.107096999999999942e-01 2.675201799999999821e+03
4.925271200000000071e+00 4.238385000000000069e-01 -1.107290999999999970e-01 2.675204499999999825e+03
4.924509999999999721e+00 4.317316999999999960e-01 -1.107482000000000050e-01 2.675207300000000032e+03
4.923736599999999797e+00 4.396238000000000090e-01 -1.107670999999999933e-01 2.675210000000000036e+03
4.922951199999999972e+00 4.475147999999999904e-01 -1.107857000000000008e-01 2.675212799999999788e+03
4.922153699999999965e+00 4.554046999999999956e-01 -1.108041000000000026e-01 2.675215499999999793e+03
4.921344200000000058e+00 4.632935000000000247e-01 -1.108221000000000067e-01 2.675218199999999797e+03
4.920522599999999969e+00 4.711812000000000222e-01 -1.108399000000000051e-01 2.675221000000000004e+03
4.919688999999999979e+00 4.790676999999999852e-01 -1.108574999999999977e-01 2.675223700000000008e+03
4.918843299999999807e+00 4.869530000000000247e-01 -1.108747000000000066e-01 2.675226500000000215e+03
4.917985500000000343e+00 4.948371999999999771e-01 -1.108916999999999958e-01 2.675229200000000219e+03
4.917115700000000089e+00 5.027201000000000031e-01 -1.109084000000000042e-01 2.675231900000000223e+03
4.916233899999999934e+00 5.106017999999999946e-01 -1.109249000000000068e-01 2.675234699999999975e+03
4.915339999999999598e+00 5.184822000000000042e-01 -1.109409999999999979e-01 2.675237399999999980e+03
4.914433999999999969e+00 5.263613999999999793e-01 -1.109568999999999972e-01 2.675240200000000186e+03
4.913516000000000439e+00 5.342392999999999725e-01 -1.109725000000000017e-01 2.675242900000000191e+03
4.912586000000000119e+00 5.421158999999999839e-01 -1.109879000000000004e-01 2.675245600000000195e+03
4.911643899999999618e+00 5.499910999999999550e-01 -1.110030000000000044e-01 2.675248399999999947e+03
4.910689800000000105e+00 5.578650000000000553e-01 -1.110177999999999998e-01 2.675251099999999951e+03
