X Y Z year
2.173762099999999808e+00 -4.521482899999999638e+00 2.703108400000000078e+00 2.682777099999999791e+03
2.175257000000000218e+00 -4.518083999999999989e+00 2.706722899999999932e+00 2.682779899999999998e+03
2.176748400000000139e+00 -4.514677899999999688e+00 2.710333100000000162e+00 2.682782600000000002e+03
2.178236300000000014e+00 -4.511264599999999625e+00 2.713938900000000043e+00 2.682785400000000209e+03
2.179720800000000125e+00 -4.507844099999999798e+00 2.717540399999999856e+00 2.682788100000000213e+03
2.181201699999999910e+00 -4.504416400000000209e+00 2.721137500000000209e+00 2.682790800000000218e+03
2.182679199999999931e+00 -4.500981399999999688e+00 2.724730300000000049e+00 2.682793599999999969e+03
2.184153100000000070e+00 -4.497539200000000292e+00 2.728318699999999986e+00 2.682796299999999974e+03
2.185623600000000000e+00 -4.494089800000000245e+00 2.731902700000000017e+00 2.682799100000000180e+03
2.187090500000000048e+00 -4.490633200000000436e+00 2.735482399999999981e+00 2.682801800000000185e+03
2.188553999999999888e+00 -4.487169500000000255e+00 2.739057600000000203e+00 2.682804500000000189e+03
2.190013899999999847e+00 -4.483698500000000031e+00 2.742628499999999914e+00 2.682807299999999941e+03
2.191470300000000204e+00 -4.480220300000000044e+00 2.746195000000000164e+00 2.682809999999999945e+03
2.192923299999999909e+00 -4.476734900000000295e+00 2.749756999999999785e+00 2.682812800000000152e+03
2.194372700000000176e+00 -4.473242400000000174e+00 2.753314699999999782e+00 2.682815500000000156e+03
2.195818500000000117e+00 -4.469742600000000010e+00 2.756867900000000038e+00 2.682818200000000161e+03
2.197260899999999850e+00 -4.466235700000000364e+00 2.760416699999999945e+00 2.682820999999999913e+03
2.198699700000000146e+00 -4.462721600000000066e+00 2.763961099999999949e+00 2.682823699999999917e+03
2.200134999999999952e+00 -4.459200400000000286e+00 2.767501000000000211e+00 2.682826500000000124e+03
2.201566800000000157e+00 -4.455671899999999575e+00 2.771036500000000125e+00 2.682829200000000128e+03
2.202995000000000037e+00 -4.452136300000000269e+00 2.774567499999999853e+00 2.682831900000000132e+03
2.204419699999999871e+00 -4.448593599999999704e+00 2.778094100000000122e+00 2.682834699999999884e+03
2.205840799999999824e+00 -4.445043700000000264e+00 2.781616200000000205e+00 2.682837399999999889e+03
