X Y Z velX velY velZ R year
2.430598787030600949e+00 -2.227265086389672355e+00 3.785171241795274977e+00 -5.587869833991277813e-04 6.333531889908017819e-03 6.993155113674796603e-04 5.019565873487367824e+00 2.684050000000000182e+03
2.430037154115765929e+00 -2.220928948499239386e+00 3.785866123227500157e+00 -5.644800720451714944e-04 6.338742749465577780e-03 6.904448245541687772e-04 5.017009893120264685e+00 2.684052000000000135e+03
2.429469824431895741e+00 -2.214587603177978981e+00 3.786552126381054428e+00 -5.701805245490482871e-04 6.343946747284893301e-03 6.815589477496141087e-04 5.014449011185138971e+00 2.684054999999999836e+03
2.428896790605883371e+00 -2.208241057300502241e+00 3.787229236047068959e+00 -5.758883594182120837e-04 6.349143857581051979e-03 6.726578431498755548e-04 5.011883226186825802e+00 2.684057999999999993e+03
2.428318045246069534e+00 -2.201889317767333765e+00 3.787897436978777232e+00 -5.816035952609655002e-04 6.354334054312705919e-03 6.637414728131664672e-04 5.009312536629749957e+00 2.684061000000000149e+03
2.427733580942133429e+00 -2.195532391505169212e+00 3.788556713891421346e+00 -5.873262507835734806e-04 6.359517311171748385e-03 6.548097986583348989e-04 5.006736941018000486e+00 2.684063000000000102e+03
2.427143390265009248e+00 -2.189170285467148425e+00 3.789207051462081921e+00 -5.930563447864914666e-04 6.364693601572174279e-03 6.458627824632904267e-04 5.004156437855376005e+00 2.684065999999999804e+03
2.426547465766770273e+00 -2.182803006633129428e+00 3.789848434329550209e+00 -5.987938961593120392e-04 6.369862898638010799e-03 6.369003858631206751e-04 5.001571025645432655e+00 2.684068999999999960e+03
2.425945799980576911e+00 -2.176430562010034375e+00 3.790480847094173100e+00 -6.045389238742613323e-04 6.375025175190220279e-03 6.279225703481610028e-04 4.998980702891588024e+00 2.684070999999999913e+03
2.425338385420564347e+00 -2.170052958632083140e+00 3.791104274317723011e+00 -6.102914469777797691e-04 6.380180403732773828e-03 6.189292972615819365e-04 4.996385468097152227e+00 2.684074000000000069e+03
2.424725214581791022e+00 -2.163670203561174343e+00 3.791718700523238450e+00 -6.160514845797211312e-04 6.385328556437718829e-03 6.099205277968920355e-04 4.993785319765438047e+00 2.684077000000000226e+03
2.424106279940183128e+00 -2.157282303887208652e+00 3.792324110194872144e+00 -6.218190558396866248e-04 6.390469605129572503e-03 6.008962229950200878e-04 4.991180256399849746e+00 2.684079999999999927e+03
2.423481573952494639e+00 -2.150889266728428506e+00 3.792920487777748928e+00 -6.275941799498771382e-04 6.395603521269224538e-03 5.918563437410412527e-04 4.988570276503982548e+00 2.684081999999999880e+03
2.422851089056265561e+00 -2.144491099231823572e+00 3.793507817677781002e+00 -6.333768761136145467e-04 6.400730275937792021e-03 5.828008507605527896e-04 4.985955378581730990e+00 2.684085000000000036e+03
2.422214817669851694e+00 -2.138087808573478021e+00 3.794086084261549363e+00 -6.391671635189899621e-04 6.405849839821051162e-03 5.737297046155822797e-04 4.983335561137446135e+00 2.684088000000000193e+03
2.421572752192434397e+00 -2.131679401959007958e+00 3.794655271856091083e+00 -6.449650613065682769e-04 6.410962183195411182e-03 5.646428657001749223e-04 4.980710822676054583e+00 2.684090999999999894e+03
2.420924885004090754e+00 -2.125265886623969980e+00 3.795215364748766973e+00 -6.507705885305393578e-04 6.416067275916636017e-03 5.555402942355393454e-04 4.978081161703247659e+00 2.684092999999999847e+03
2.420271208465917923e+00 -2.118847269834245761e+00 3.795766347187063960e+00 -6.565837641125050117e-04 6.421165087413097106e-03 5.464219502649184622e-04 4.975446576725644832e+00 2.684096000000000004e+03
2.419611714920167689e+00 -2.112423558886543873e+00 3.796308203378417456e+00 -6.624046067873822852e-04 6.426255586685723081e-03 5.372877936483649169e-04 4.972807066251020203e+00 2.684099000000000160e+03
2.418946396690478728e+00 -2.105994761108751057e+00 3.796840917490038159e+00 -6.682331350415181802e-04 6.431338742317475703e-03 5.281377840574675263e-04 4.970162628788513892e+00 2.684101999999999862e+03
2.418275246082166152e+00 -2.099560883860383864e+00 3.797364473648704664e+00 -6.740693670435246023e-04 6.436414522495682682e-03 5.189718809706349995e-04 4.967513262848894051e+00 2.684103999999999814e+03
2.417598255382547912e+00 -2.093121934532964357e+00 3.797878855940576059e+00 -6.799133205694737241e-04 6.441482895051125340e-03 5.097900436691355647e-04 4.964858966944807328e+00 2.684106999999999971e+03
2.416915416861409760e+00 -2.086677920550308318e+00 3.798384048410999636e+00 -6.857650129256401229e-04 6.446543827518008002e-03 5.005922312346670552e-04 4.962199739591067527e+00 2.684110000000000127e+03
