a e i Om w M year jd number node
3.841283292935767868e+00 4.874725317540977709e-01 6.129495778871299905e+01 2.784640860365053072e+02 2.080297199801091779e+02 -1.776268535808532079e+02 2.675050000000000182e+03 2.698101654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841282657270270740e+00 4.874728256299530882e-01 6.129500154552119540e+01 2.784641136808695592e+02 2.080295921897347284e+02 -1.774956469922639144e+02 2.675052000000000135e+03 2.698102654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841282022215829262e+00 4.874731218598866711e-01 6.129504570557778464e+01 2.784641416393516806e+02 2.080294642300173109e+02 -1.773644402443254080e+02 2.675054999999999836e+03 2.698103654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841281387061018737e+00 4.874734207120495211e-01 6.129509027146167455e+01 2.784641699147331906e+02 2.080293361217181882e+02 -1.772332333908218231e+02 2.675057999999999993e+03 2.698104654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841280751152718054e+00 4.874737224309625416e-01 6.129513524436275418e+01 2.784641985089249374e+02 2.080292078853013038e+02 -1.771020264836081424e+02 2.675061000000000149e+03 2.698105654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841280113891288206e+00 4.874740272394772478e-01 6.129518062431844783e+01 2.784642274231103443e+02 2.080290795408055260e+02 -1.769708195724770121e+02 2.675063000000000102e+03 2.698106654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841279474725758813e+00 4.874743353407229307e-01 6.129522641041555175e+01 2.784642566578677929e+02 2.080289511077595819e+02 -1.768396127051052531e+02 2.675065999999999804e+03 2.698107654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841278833149171845e+00 4.874746469199822130e-01 6.129527260096110552e+01 2.784642862132752725e+02 2.080288226051296476e+02 -1.767084059270585215e+02 2.675068999999999960e+03 2.698108654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841278188694179807e+00 4.874749621464592453e-01 6.129531919362620584e+01 2.784643160889981459e+02 2.080286940512914100e+02 -1.765771992818368403e+02 2.675072000000000116e+03 2.698109654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841277540928948575e+00 4.874752811749211712e-01 6.129536618556635119e+01 2.784643462843629322e+02 2.080285654640208293e+02 -1.764459928109478142e+02 2.675074000000000069e+03 2.698110654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841276889453391519e+00 4.874756041472045887e-01 6.129541357352190545e+01 2.784643767984193232e+02 2.080284368604980330e+02 -1.763147865539978341e+02 2.675077000000000226e+03 2.698111654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841276233895732695e+00 4.874759311935863426e-01 6.129546135390165063e+01 2.784644076299919675e+02 2.080283082573206457e+02 -1.761835805487935147e+02 2.675079999999999927e+03 2.698112654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841275573909394669e+00 4.874762624340248096e-01 6.129550952285222110e+01 2.784644387777231600e+02 2.080281796705236559e+02 -1.760523748314479064e+02 2.675083000000000084e+03 2.698113654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841274909170185214e+00 4.874765979792787807e-01 6.129555807631582809e+01 2.784644702401091649e+02 2.080280511156032617e+02 -1.759211694364880145e+02 2.675085000000000036e+03 2.698114654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841274239373766441e+00 4.874769379319147666e-01 6.129560701007833501e+01 2.784645020155302291e+02 2.080279226075434735e+02 -1.757899643969605563e+02 2.675088000000000193e+03 2.698115654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841273564233365079e+00 4.874772823872143279e-01 6.129565631980931073e+01 2.784645341022755929e+02 2.080277941608436265e+02 -1.756587597445345068e+02 2.675090999999999894e+03 2.698116654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841272883477713229e+00 4.874776314339919758e-01 6.129570600109578749e+01 2.784645664985649773e+02 2.080276657895464609e+02 -1.755275555095992104e+02 2.675094000000000051e+03 2.698117654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841272196849175202e+00 4.874779851553360799e-01 6.129575604947073231e+01 2.784645992025667738e+02 2.080275375072661177e+02 -1.753963517213578029e+02 2.675096000000000004e+03 2.698118654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841271504102042211e+00 4.874783436292829397e-01 6.129580646043745418e+01 2.784646322124134485e+02 2.080274093272151674e+02 -1.752651484079155750e+02 2.675099000000000160e+03 2.698119654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841270805000966959e+00 4.874787069294350683e-01 6.129585722949074267e+01 2.784646655262155832e+02 2.080272812622312983e+02 -1.751339455963635316e+02 2.675101999999999862e+03 2.698120654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841270099319507914e+00 4.874790751255324572e-01 6.129590835213546285e+01 2.784646991420737550e+02 2.080271533248028959e+02 -1.750027433128577741e+02 2.675105000000000018e+03 2.698121654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841269386838771283e+00 4.874794482839872045e-01 6.129595982390325304e+01 2.784647330580896210e+02 2.080270255270939685e+02 -1.748715415826947606e+02 2.675106999999999971e+03 2.698122654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841268667346112498e+00 4.874798264683891658e-01 6.129601164036768779e+01 2.784647672723760934e+02 2.080268978809684484e+02 -1.747403404303839238e+02 2.675110000000000127e+03 2.698123654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841267940633891431e+00 4.874802097399918988e-01 6.129606379715846032e+01 2.784648017830668891e+02 2.080267703980142358e+02 -1.746091398797179295e+02 2.675112999999999829e+03 2.698124654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841267206498244935e+00 4.874805981581857850e-01 6.129611628997465544e+01 2.784648365883256815e+02 2.080266430895671306e+02 -1.744779399538420250e+02 2.675114999999999782e+03 2.698125654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
3.841266464737869590e+00 4.874809917809667659e-01 6.129616911459763173e+01 2.784648716863548543e+02 2.080265159667352179e+02 -1.743467406753233035e+02 2.675117999999999938e+03 2.698126654899999965e+06 1.000000000000000000e+00 0.000000000000000000e+00
