a e i Om w M year jd number node
2.873464519165562781e+00 7.612890449132346804e-01 6.961930631358839605e+01 2.857858195959875047e+02 1.657365837046010029e+02 -1.636118804060620846e+02 1.499042999999999893e+03 2.268583260400000028e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.866559917143423508e+00 7.651710126354560604e-01 6.965866364172703129e+01 2.857993054890281996e+02 1.656272916198967380e+02 1.749248365097300848e+02 1.489042999999999893e+03 2.264931260400000028e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.870891351485846954e+00 7.649743364076405649e-01 6.954069418763941712e+01 2.857895864366294632e+02 1.655925862576059444e+02 1.542283403096767529e+02 1.479046000000000049e+03 2.261279260300000198e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.856232768717267057e+00 7.732826555497933629e-01 6.974792946079318767e+01 2.859240448548673612e+02 1.656290222607188980e+02 1.308436945482774263e+02 1.469046000000000049e+03 2.257627260199999902e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.856198490021239156e+00 7.735197268734254061e-01 6.969375125989323294e+01 2.858912397329766009e+02 1.656069008591873342e+02 1.048080796459603192e+02 1.459048999999999978e+03 2.253975260199999902e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.842755088508042594e+00 7.871176671282423820e-01 6.967473389932526118e+01 2.861174949101461493e+02 1.656293089710313211e+02 7.939809928262485528e+01 1.449048999999999978e+03 2.250323260100000072e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.841366054398748897e+00 7.879924857874566202e-01 6.970403234259423186e+01 2.861116688065297353e+02 1.655965583079448322e+02 4.815874851950716362e+01 1.439050999999999931e+03 2.246671260100000072e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.842781699371814685e+00 7.881757993123074124e-01 6.965882885518901446e+01 2.861175136022816901e+02 1.655629462079611471e+02 1.662249591287048034e+01 1.429050999999999931e+03 2.243019259999999776e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.848361686681396776e+00 7.980230846800873135e-01 6.907968862062070059e+01 2.863817992981793168e+02 1.652399035990260074e+02 -9.888923790475921294e+00 1.419054000000000087e+03 2.239367259899999946e+06 2.000000000000000000e+00 0.000000000000000000e+00
2.845562654343028797e+00 7.991019144996007739e-01 6.915644180002978203e+01 2.863240284827233495e+02 1.652266478003629970e+02 -3.964350707539759355e+01 1.409054000000000087e+03 2.235715259899999946e+06 2.000000000000000000e+00 0.000000000000000000e+00
