distance year jd planet number
2.704515000000000113e-01 1.288647999999999911e+03 2.191736663900000043e+06 2.000000000000000000e+00 2.000000000000000000e+00
1.775451000000000112e-01 1.288643000000000029e+03 2.191734794400000013e+06 1.000000000000000000e+00 2.000000000000000000e+00
2.951135999999999759e-01 1.288643000000000029e+03 2.191734794400000013e+06 2.000000000000000000e+00 2.000000000000000000e+00
1.885446000000000066e-01 1.288637999999999920e+03 2.191732922799999826e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.306529999999999747e-01 1.288637999999999920e+03 2.191732922799999826e+06 2.000000000000000000e+00 2.000000000000000000e+00
2.257678999999999936e-01 1.288633000000000038e+03 2.191731093200000003e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.722442999999999724e-01 1.288633000000000038e+03 2.191731093200000003e+06 2.000000000000000000e+00 2.000000000000000000e+00
2.787424000000000013e-01 1.288627999999999929e+03 2.191729214300000109e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.378017999999999854e-01 1.288622000000000071e+03 2.191727321899999864e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.989105000000000012e-01 1.288616999999999962e+03 2.191725378899999894e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.829411999999999816e-01 1.283851000000000113e+03 2.189984095399999991e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.351071999999999940e-01 1.283846000000000004e+03 2.189982196899999864e+06 1.000000000000000000e+00 2.000000000000000000e+00
2.957860999999999962e-01 1.283840999999999894e+03 2.189980338500000071e+06 1.000000000000000000e+00 2.000000000000000000e+00
2.696463000000000054e-01 1.283836000000000013e+03 2.189978499400000088e+06 1.000000000000000000e+00 2.000000000000000000e+00
2.615475999999999912e-01 1.283830999999999904e+03 2.189976662700000219e+06 1.000000000000000000e+00 2.000000000000000000e+00
2.736055000000000015e-01 1.283826000000000022e+03 2.189974815799999982e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.034694000000000003e-01 1.283819999999999936e+03 2.189972941300000064e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.462527000000000243e-01 1.283815000000000055e+03 2.189971019199999981e+06 1.000000000000000000e+00 2.000000000000000000e+00
3.968537999999999788e-01 1.283809999999999945e+03 2.189969038900000043e+06 1.000000000000000000e+00 2.000000000000000000e+00
