X Y Z VelX VelY VelZ M year r
-3.303245081130773642e+00 4.135193172593137234e+00 4.476327384669580994e-02 -5.996374123006260187e-03 -4.357444185147336078e-03 1.203353544757899946e-04 1.077823900238314536e+02 2.700581831512767621e+03 5.292754896210576376e+00
-3.377584822467225134e+00 4.080156431485659319e+00 4.625847016618641477e-02 -5.913245397425756500e-03 -4.459667471621568680e-03 1.192027847611447952e-04 1.088187433296730404e+02 2.700614781512767422e+03 5.296970415663737164e+00
-3.450992118278290111e+00 4.023763276807735600e+00 4.774165355375808995e-02 -5.828345643768449540e-03 -4.560424277808373082e-03 1.180340827676188781e-04 1.098567424375864050e+02 2.700647731512767223e+03 5.301159946057979688e+00
-3.523440981144585038e+00 3.966028751151919884e+00 4.921231514758127312e-02 -5.741700723321722585e-03 -4.659683912208551285e-03 1.168296044931605945e-04 1.108963781854624244e+02 2.700680681512767023e+03 5.305322068879038788e+00
-3.594905635922247544e+00 3.906968432912039102e+00 5.066994807293036251e-02 -5.653337028967711508e-03 -4.757416139375903602e-03 1.155897168335206365e-04 1.119376408304214436e+02 2.700713631512766824e+03 5.309455368547173926e+00
-3.665360532048386411e+00 3.846598434620559281e+00 5.211404766515322085e-02 -5.563281477143708006e-03 -4.853591189127282393e-03 1.143147974704910951e-04 1.129805200485141086e+02 2.700746581512766625e+03 5.313558433017125715e+00
-3.734780355903747129e+00 3.784935400968470365e+00 5.354411169469761034e-02 -5.471561499643180781e-03 -4.948179765610868572e-03 1.130052347568603064e-04 1.140250049346953176e+02 2.700779531512766425e+03 5.317629854384945176e+00
-3.803140043223551370e+00 3.721996506502766255e+00 5.495964059405118729e-02 -5.378205035259796436e-03 -5.041153056229955194e-03 1.116614275981170438e-04 1.150710840030748443e+02 2.700812481512766226e+03 5.321668229501296032e+00
-3.870414791547251987e+00 3.657799452997020140e+00 5.636013768644561328e-02 -5.283240521276960644e-03 -5.132482740419584862e-03 1.102837853309394266e-04 1.161187451874504148e+02 2.700845431512766027e+03 5.325672160590913862e+00
-3.936580072697439814e+00 3.592362466490900186e+00 5.774510941616687459e-02 -5.186696884805582289e-03 -5.222140998273207269e-03 1.088727275985076453e-04 1.171679758421275892e+02 2.700878381512765827e+03 5.329640255877750477e+00
-4.001611645278264184e+00 3.525704293994585736e+00 5.911406558031379738e-02 -5.088603533972568121e-03 -5.310100519016946498e-03 1.074286842226762406e-04 1.182187627430314478e+02 2.700911331512765628e+03 5.333571130215468692e+00
-4.065485567183141136e+00 3.457844199854522405e+00 6.046651956183633769e-02 -4.988990348962830425e-03 -5.396334509328705106e-03 1.059520950730461609e-04 1.192710920891134663e+02 2.700944281512765428e+03 5.337463405722788323e+00
-4.128178208101524582e+00 3.388801961777258231e+00 6.180198856368338683e-02 -4.887887672917502584e-03 -5.480816701499659042e-03 1.044434099329765640e-04 1.203249495040589068e+02 2.700977231512765229e+03 5.341315712423310380e+00
-4.189666262014251963e+00 3.318597866508311789e+00 6.311999384388514156e-02 -4.785326302691109493e-03 -5.563521361435680088e-03 1.029030883625759780e-04 1.213803200382970431e+02 2.701010181512765030e+03 5.345126688889313193e+00
-4.249926759666698750e+00 3.247252705163550690e+00 6.442006095138723409e-02 -4.681337479470547291e-03 -5.644423296496174809e-03 1.013315995587161334e-04 1.224371881713199883e+02 2.701043131512764830e+03 5.348894982889087935e+00
-4.308937081008875403e+00 3.174787768210828531e+00 6.570171996245320611e-02 -4.575952879258754664e-03 -5.723497863168001618e-03 9.972942221211021066e-05 1.234955378143108078e+02 2.701076081512764631e+03 5.352619252037305486e+00
-4.366674967591423595e+00 3.101224840099906288e+00 6.696450571744548552e-02 -4.469204603225813976e-03 -5.800720974572152674e-03 9.809704436149839480e-05 1.245553523130865869e+02 2.701109031512764432e+03 5.356298164447926169e+00
-4.423118534906182120e+00 3.026586193539356096e+00 6.820795805778955001e-02 -4.361125167930713156e-03 -5.876069107800805866e-03 9.643496324498741345e-05 1.256166144513577478e+02 2.701141981512764232e+03 5.359930399389162048e+00
-4.478246284660060361e+00 2.950894583419137351e+00 6.943162206292624594e-02 -4.251747495416431134e-03 -5.949519311082670375e-03 9.474368514858612443e-05 1.266793064543062854e+02 2.701174931512764033e+03 5.363514647939942925e+00
-4.532037116970585977e+00 2.874173240378310901e+00 7.063504828704890437e-02 -4.141104903181571685e-03 -6.021049210774299595e-03 9.302372525198653876e-05 1.277434099924859936e+02 2.701207881512763834e+03 5.367049613647366435e+00
-4.584470342471536064e+00 2.796445864017548466e+00 7.181779299542077888e-02 -4.029231094031567560e-03 -6.090637018175316594e-03 9.127560747163488038e-05 1.288089061860458457e+02 2.701240831512763634e+03 5.370534013184598443e+00
-4.635525694316937617e+00 2.717736615756497720e+00 7.297941840006612335e-02 -3.916160145812405680e-03 -6.158261536165483482e-03 8.949986430114120046e-05 1.298757756092788043e+02 2.701273781512763435e+03 5.373966577008655321e+00
-4.685183340071515268e+00 2.638070111336754842e+00 7.411949289462159418e-02 -3.801926501030277340e-03 -6.223902165661519999e-03 8.769703664907747408e-05 1.309439982954966410e+02 2.701306731512763236e+03 5.377346050017513868e+00
-4.733423893475785960e+00 2.557471412971191960e+00 7.523759128813661823e-02 -3.686564956359983641e-03 -6.287538911891807358e-03 8.586767367421079976e-05 1.320135537422326877e+02 2.701339681512763036e+03 5.380671192205967124e+00
-4.780228426073771963e+00 2.475966021141283946e+00 7.633329503760534485e-02 -3.570110652045554740e-03 -6.349152390486985896e-03 8.401233261822469225e-05 1.330844209167726149e+02 2.701372631512762837e+03 5.383940779319663861e+00
-4.825578478691343598e+00 2.393579866044220239e+00 7.740619247901185662e-02 -3.452599061196221474e-03 -6.408723833384603365e-03 8.213157863597816586e-05 1.341565782620135110e+02 2.701405581512762637e+03 5.387153603506719790e+00
-4.869456072753250098e+00 2.310339298692086984e+00 7.845587905667031348e-02 -3.334065978980894386e-03 -6.466235094546080898e-03 8.022598462335311833e-05 1.352300037026521977e+02 2.701438531512762438e+03 5.390308473966319625e+00
-4.911843721426717657e+00 2.226271081666066909e+00 7.948195755063575119e-02 -3.214547511724691158e-03 -6.521668655484137885e-03 7.829613104274597390e-05 1.363046746517007932e+02 2.701471481512762239e+03 5.393404217593722016e+00
-4.952724440579712173e+00 2.141402379528695832e+00 8.048403830196607101e-02 -3.094080065910531294e-03 -6.575007630599119697e-03 7.634260574625221184e-05 1.373805680173307451e+02 2.701504431512762039e+03 5.396439679621017227e+00
-4.992081759541886932e+00 2.055760748898044721e+00 8.146173943560920672e-02 -2.972700337089396322e-03 -6.626235772322500509e-03 7.436600379660124327e-05 1.384576602100425760e+02 2.701537381512761840e+03 5.399413724253082414e+00
-5.029899731656282569e+00 1.969374128187946438e+00 8.241468708069271676e-02 -2.850445298702532389e-03 -6.675337476066047632e-03 7.236692728589489765e-05 1.395359271501612568e+02 2.701570331512761641e+03 5.402325235298092387e+00
-5.066162944610021590e+00 1.882270827018821091e+00 8.334251558799148085e-02 -2.727352190818937202e-03 -6.722297784975148592e-03 7.034598515220378330e-05 1.406153442756542518e+02 2.701603281512761441e+03 5.405173116791942789e+00
-5.100856530532224653e+00 1.794479515304333361e+00 8.424486774434944425e-02 -2.603458508791694440e-03 -6.767102394484792588e-03 6.830379299407899815e-05 1.416958865502712115e+02 2.701636231512761242e+03 5.407956293616044796e+00
-5.133966175847563207e+00 1.706029212019347430e+00 8.512139498383153313e-02 -2.478801991836552220e-03 -6.809737656676884479e-03 6.624097288303535248e-05 1.427775284720015918e+02 2.701669181512761043e+03 5.410673712107782585e+00
