X Y Z velX velY velZ M year r
-5.444376562628850280e+00 -2.492162779148320850e-01 9.704775899783044113e-02 2.463938870553972595e-04 -7.186950716416490477e-03 1.931678586586226614e-05 1.656964333656790416e+02 2.296650575458685125e+03 5.450941494494924378e+00
-5.440245434555968096e+00 -3.442769694205844444e-01 9.728784492837161402e-02 3.779397218203569457e-04 -7.179778179584202051e-03 1.696814801182131279e-05 1.667949995660088405e+02 2.298362413745763206e+03 5.451996143125128924e+00
-5.434372286818275555e+00 -4.392628575759663367e-01 9.749689506240855064e-02 5.093402287307168203e-04 -7.170310590392545667e-03 1.461451953962269907e-05 1.678939741864404311e+02 2.300074252032841287e+03 5.452967967477079014e+00
-5.426758246732493518e+00 -5.341406035733721192e-01 9.767481951659943984e-02 6.405553819191927862e-04 -7.158550832760903274e-03 1.225661738729869364e-05 1.689933238310283627e+02 2.301786090319918912e+03 5.453856582569113876e+00
-5.417405133580135868e+00 -6.288768788757351791e-01 9.782154067159794242e-02 7.715452119789937115e-04 -7.144502488825368695e-03 9.895159794686762654e-06 1.700930149380324394e+02 2.303497928606996538e+03 5.454661636063621089e+00
-5.406315458871223001e+00 -7.234383814265039625e-01 9.793699323010515712e-02 9.022698181389638339e-04 -7.128169837847596162e-03 7.530866084645449666e-06 1.711930137945746537e+02 2.305209766894074619e+03 5.455382808492353242e+00
-5.393492426162524112e+00 -8.177918518824556227e-01 9.802112426712328297e-02 1.032689380417715170e-03 -7.109557854911290921e-03 5.164456443942150437e-06 1.722932865514135017e+02 2.306921605181152700e+03 5.456019813461131740e+00
-5.378939930429076810e+00 -9.119040898550140328e-01 9.807389327234136700e-02 1.162764171753155476e-03 -7.088672209406753077e-03 2.796651703877688845e-06 1.733937992378247088e+02 2.308633443468230325e+03 5.456572397833666876e+00
-5.362662556988299301e+00 -1.005741970145658915e+00 9.809527218459437869e-02 1.292454570103807217e-03 -7.065519263303927412e-03 4.281731207128665189e-07 1.744945177765775952e+02 2.310345281755307951e+03 5.457040341894288105e+00
-5.344665579976587644e+00 -1.099272458960724563e+00 9.808524541834431898e-02 1.421721070517974412e-03 -7.040106069214483071e-03 -1.940257844031567487e-06 1.755954079989938919e+02 2.312057120042386032e+03 5.457423459489358919e+00
-5.324954960378781799e+00 -1.192462630091304598e+00 9.804380988214378423e-02 1.550524297167404138e-03 -7.012440368243524208e-03 -4.307919743340364962e-06 1.766964356600793451e+02 2.313768958329464112e+03 5.457721598147259101e+00
-5.303537343611473887e+00 -1.285279681043554278e+00 9.797097498905039947e-02 1.678825015341520697e-03 -6.982530587631566484e-03 -6.674091364463053206e-06 1.777975664537142961e+02 2.315480796616541738e+03 5.457934639176725611e+00
-5.280420056661649042e+00 -1.377690949104982021e+00 9.786676265897127636e-02 1.806584143398678967e-03 -6.950385838187535768e-03 -9.038051948601991069e-06 1.788987660278933163e+02 2.317192634903619364e+03 5.458062497743474850e+00
-5.255611104782710541e+00 -1.469663927332347075e+00 9.773120731292618546e-02 1.933762764670848453e-03 -6.916015911513497677e-03 -1.139908141046316096e-05 1.800000000000000000e+02 2.318904473190697445e+03 5.458105122924999719e+00
-5.229119167750496011e+00 -1.561166280446729671e+00 9.756435585922773601e-02 2.060322139317988851e-03 -6.879431277022069434e-03 -1.375646055760079315e-05 1.811012339721066837e+02 2.320616311477775525e+03 5.458062497743474850e+00
-5.200953595682380914e+00 -1.652165860621564342e+00 9.736626767158726437e-02 2.186223716128555487e-03 -6.840643078747319847e-03 -1.610947130948987694e-05 1.822024335462856754e+02 2.322328149764853151e+03 5.457934639176725611e+00
-5.171124404423152576e+00 -1.742630723149599437e+00 9.713701455916450012e-02 2.311429144262640723e-03 -6.799663131950192153e-03 -1.845739691626171870e-05 1.833035643399206265e+02 2.324039988051930777e+03 5.457721598147259101e+00
-5.139642270501867394e+00 -1.832529141974614584e+00 9.687668072858895973e-02 2.435900284933918865e-03 -6.756503919519468021e-03 -2.079952217703118347e-05 1.844045920010060797e+02 2.325751826339008858e+03 5.457423459489358031e+00
-5.106518525664331953e+00 -1.921829625074362280e+00 9.658536273799114835e-02 2.559599223027186204e-03 -6.711178588169336087e-03 -2.313513365775560020e-05 1.855054822234223764e+02 2.327463664626086938e+03 5.457040341894287216e+00
-5.071765150986537130e+00 -2.010500929680843374e+00 9.626316944309100399e-02 2.682488278647588310e-03 -6.663700944434807101e-03 -2.546351990855215709e-05 1.866062007621752628e+02 2.329175502913164564e+03 5.456572397833666876e+00
-5.035394770574686873e+00 -2.098512077324750091e+00 9.591022193540080232e-02 2.804530018598319456e-03 -6.614085450466095431e-03 -2.778397168041302941e-05 1.877067134485864983e+02 2.330887341200242190e+03 5.456019813461131740e+00
-4.997420644858077132e+00 -2.185832368690819649e+00 9.552665347260888562e-02 2.925687267783168202e-03 -6.562347219623288798e-03 -3.009578214125024342e-05 1.888069862054253463e+02 2.332599179487320271e+03 5.455382808492353242e+00
-4.957856663481580384e+00 -2.272431398271121061e+00 9.511260940122108487e-02 3.045923120530345980e-03 -6.508502011872706154e-03 -3.239824709120221210e-05 1.899069850619675321e+02 2.334311017774398351e+03 5.454661636063621089e+00
-4.916717337804845656e+00 -2.358279068803792011e+00 9.466824707154437857e-02 3.165200951834342639e-03 -6.452566228986245621e-03 -3.469066517714046850e-05 1.910066761689716657e+02 2.336022856061475977e+03 5.453856582569112987e+00
-4.874017793015892330e+00 -2.443345605484819494e+00 9.419373574510755964e-02 3.283484428512295234e-03 -6.394556909545224752e-03 -3.697233810630931188e-05 1.921060258135595404e+02 2.337734694348553603e+03 5.452967967477079014e+00
-4.829773759867205030e+00 -2.527601569940753912e+00 9.368925649462260530e-02 3.400737520271359011e-03 -6.334491723750296926e-03 -3.924257085903124409e-05 1.932050004339911595e+02 2.339446532635631684e+03 5.451996143125128924e+00
-4.784001566042831222e+00 -2.611017873950824963e+00 9.315500209659818842e-02 3.516924510683916861e-03 -6.272388968038929667e-03 -4.150067190041733557e-05 1.943035666343209584e+02 2.341158370922709764e+03 5.450941494494925266e+00
-4.736718127165379322e+00 -2.693565792907025802e+00 9.259117691672638650e-02 3.632010008067171683e-03 -6.208267559512108472e-03 -4.374595339101587606e-05 1.954016911989258745e+02 2.342870209209787390e+03 5.449804438966482145e+00
-4.687940937452351520e+00 -2.775216979001156048e+00 9.199799678817140169e-02 3.745958956263773214e-03 -6.142147030172022577e-03 -4.597773139633451895e-05 1.964993411068936950e+02 2.344582047496865016e+03 5.448585426052432901e+00
-4.637688060031452508e+00 -2.855943474128270765e+00 9.137568888289730740e-02 3.858736645320241018e-03 -6.074047520972437886e-03 -4.819532609517290686e-05 1.975964835462599751e+02 2.346293885783943097e+03 5.447284937112522485e+00
-4.585978116924986026e+00 -2.935717722496352433e+00 9.072449157617931692e-02 3.970308722059976564e-03 -6.003989775683558558e-03 -5.039806198670323330e-05 1.986930859280854520e+02 2.348005724071021177e+03 5.445903485048717130e+00
-4.532830278713770866e+00 -3.014512582932388440e+00 9.004465430445050822e-02 4.080641200547604000e-03 -5.931995134573252518e-03 -5.258526809623498960e-05 1.997891159003605992e+02 2.349717562358098803e+03 5.444441613981259920e+00
-4.478264253891391711e+00 -3.092301340875410531e+00 8.933643741664472337e-02 4.189700472441347523e-03 -5.858085527906633193e-03 -5.475627817959906161e-05 2.008845413617301858e+02 2.351429400645176429e+03 5.442899898906058631e+00
-4.422300277919802625e+00 -3.169057720047696147e+00 8.860011201920059420e-02 4.297453317230500239e-03 -5.782283469265879668e-03 -5.691043092609278522e-05 2.019793304750257334e+02 2.353141238932254510e+03 5.441278945333833938e+00
-4.364959101997651914e+00 -3.244755893795573609e+00 8.783595981490004145e-02 4.403866912354734500e-03 -5.704612048692348295e-03 -5.904707015992227730e-05 2.030734516805981400e+02 2.354853077219332590e+03 5.439579388911413460e+00
-4.306261981553065610e+00 -3.319370496091721634e+00 8.704427293572167268e-02 4.508908843202110404e-03 -5.625094925653175391e-03 -6.116554504007858247e-05 2.041668737094396704e+02 2.356564915506410216e+03 5.437801895025640597e+00
-4.246230664472656180e+00 -3.392876632191548225e+00 8.622535376989283462e-02 4.612547112982922325e-03 -5.543756321834345142e-03 -6.326521025859089111e-05 2.052595655960877536e+02 2.358276753793487842e+03 5.435947158390347589e+00
-4.184887379078943148e+00 -3.465249888936465794e+00 8.537951478333170863e-02 4.714750152476244495e-03 -5.460621013762509933e-03 -6.534542623709412793e-05 2.063514966913013495e+02 2.359988592080565923e+03 5.434015902616871507e+00
-4.122254821868575725e+00 -3.536466344697398068e+00 8.450707833567688843e-02 4.815486829646166769e-03 -5.375714325257872038e-03 -6.740555932164934885e-05 2.074426366745008750e+02 2.361700430367644003e+03 5.432008879768600806e+00
-4.058356145023720885e+00 -3.606502578952557325e+00 8.360837649110328118e-02 4.914726459124984896e-03 -5.289062119720248228e-03 -6.944498197576244440e-05 2.085329555659652101e+02 2.363412268654721629e+03 5.429926869900065789e+00
-3.993214943709515019e+00 -3.675335681493659745e+00 8.268375082413260968e-02 5.012438811560182041e-03 -5.200690792250874279e-03 -7.146307297153620629e-05 2.096224237387766038e+02 2.365124106941799255e+03 5.427770680581097906e+00
-3.926855243170183751e+00 -3.742943261255643694e+00 8.173355222064573877e-02 5.108594122822667123e-03 -5.110627261612156816e-03 -7.345921757890407436e-05 2.107110119305072260e+02 2.366835945228877335e+03 5.425541146406578363e+00
-3.859301485637025575e+00 -3.809303454765075259e+00 8.075814067431355547e-02 5.203163103073144002e-03 -5.018898962028002335e-03 -7.543280775288135204e-05 2.117986912546396923e+02 2.368547783515955416e+03 5.423239128492349792e+00
-3.790578517061099273e+00 -3.874394934203241547e+00 7.975788507866081456e-02 5.296116945684103960e-03 -4.925533834827062682e-03 -7.738324231878222824e-05 2.128854332117151387e+02 2.370259621803033042e+03 5.420865513957810577e+00
-3.720711573683900042e+00 -3.938196915080288463e+00 7.873316301498498038e-02 5.387427336014644248e-03 -4.830560319931515544e-03 -7.930992715534404503e-05 2.139712097002028770e+02 2.371971460090110668e+03 5.418421215395825108e+00
-3.649726268459187573e+00 -4.000689163517164637e+00 7.768436053635283112e-02 5.477066460035319787e-03 -4.734007347194034952e-03 -8.121227537570118588e-05 2.150559930270850089e+02 2.373683298377188748e+03 5.415907170330436671e+00
-3.577648577339183067e+00 -4.061852003132920608e+00 7.661187194789986776e-02 5.565007012800588133e-03 -4.635904327585456744e-03 -8.308970750615708473e-05 2.161397559181513373e+02 2.375395136664266829e+03 5.413324340663079326e+00
-3.504504825438363280e+00 -4.121666321535150779e+00 7.551609958365905484e-02 5.651222206766196195e-03 -4.536281144235878096e-03 -8.494165166269807248e-05 2.172224715279983798e+02 2.377106974951344455e+03 5.410673712107781697e+00
-3.430321673088224443e+00 -4.180113576411935483e+00 7.439745358015022181e-02 5.735685779948869294e-03 -4.435168143332030022e-03 -8.676754372519368498e-05 2.183041134497288169e+02 2.378818813238422081e+03 5.407956293616044796e+00
-3.355126101796083837e+00 -4.237175801224245753e+00 7.325635164695715185e-02 5.818372003925988481e-03 -4.332596124873503221e-03 -8.856682750923372202e-05 2.193846557243457198e+02 2.380530651525500161e+03 5.405173116791943677e+00
-3.278945400121168863e+00 -4.292835610498134002e+00 7.209321883452485258e-02 5.899255691672751142e-03 -4.228596333290732950e-03 -9.033895493554786082e-05 2.204640728498387716e+02 2.382242489812578242e+03 5.402325235298091499e+00
-3.201807149481194603e+00 -4.347076204716517900e+00 7.090848729940903150e-02 5.978312205234311699e-03 -4.123200447927728371e-03 -9.208338619695471147e-05 2.215423397899574240e+02 2.383954328099655868e+03 5.399413724253083302e+00
-3.123739209902256508e+00 -4.399881374811018375e+00 6.970259606720684287e-02 6.055517463230818999e-03 -4.016440573392142388e-03 -9.379958992279369384e-05 2.226194319826692833e+02 2.385666166386733494e+03 5.396439679621016339e+00
-3.044769705725209885e+00 -4.451235506254485053e+00 6.847599079340303818e-02 6.130847948192768258e-03 -3.908349229775984895e-03 -9.548704334078431946e-05 2.236953253482992068e+02 2.387378004673811574e+03 5.393404217593721128e+00
-2.964927011281097702e+00 -4.501123582755673702e+00 6.722912352235874134e-02 6.204280713724709059e-03 -3.798959342749602761e-03 -9.714523243626913105e-05 2.247699962973478023e+02 2.389089842960889655e+03 5.390308473966320513e+00
-2.884239736548528832e+00 -4.549531189557598942e+00 6.596245244467584257e-02 6.275793391494898996e-03 -3.688304233532281508e-03 -9.877365210878618425e-05 2.258434217379864606e+02 2.390801681247967281e+03 5.387153603506718902e+00
-2.802736712805315555e+00 -4.596444516341904318e+00 6.467644165316224769e-02 6.345364198048920185e-03 -3.576417608742238612e-03 -1.003718063259282864e-04 2.269155790832273851e+02 2.392513519535044907e+03 5.383940779319663861e+00
-2.720446978286789719e+00 -4.641850359741775733e+00 6.337156089762588373e-02 6.412971941445162229e-03 -3.463333550129233263e-03 -1.019392082744394711e-04 2.279864462577673123e+02 2.394225357822122987e+03 5.380671192205967124e+00
-2.637399763863001123e+00 -4.685736125466399393e+00 6.204828533872290552e-02 6.478596027710050928e-03 -3.349086504192998366e-03 -1.034753805085023324e-04 2.290560017045033590e+02 2.395937196109201068e+03 5.377346050017513868e+00
-2.553624478746606030e+00 -4.728089830040494768e+00 6.070709530108048951e-02 6.542216467111187407e-03 -3.233711271690478065e-03 -1.049798550951730128e-04 2.301242243907211673e+02 2.397649034396278694e+03 5.373966577008655321e+00
-2.469150696243204823e+00 -4.768900102162736410e+00 5.934847602591485777e-02 6.603813880246439151e-03 -3.117242997035130341e-03 -1.064521737569184840e-04 2.311910938139541543e+02 2.399360872683356320e+03 5.370534013184597555e+00
-2.384008139555724437e+00 -4.808156183687237295e+00 5.797291742336259379e-02 6.663369503947046135e-03 -2.999717157591679558e-03 -1.078918880112115754e-04 2.322565900075140064e+02 2.401072710970434400e+03 5.367049613647365547e+00
-2.298226667653875399e+00 -4.845847930232813461e+00 5.658091382473651870e-02 6.720865196993102732e-03 -2.881169552869333912e-03 -1.092985593071435101e-04 2.333206935456936719e+02 2.402784549257512481e+03 5.363514647939942037e+00
-2.211836261219774613e+00 -4.881965811424953117e+00 5.517296373491776401e-02 6.776283445639536690e-03 -2.761636293616874776e-03 -1.106717591590109076e-04 2.343833855486421669e+02 2.404496387544590107e+03 5.359930399389162936e+00
-2.124867008680428881e+00 -4.916500910775785549e+00 5.374956958509093108e-02 6.829607368950963223e-03 -2.641153790823003254e-03 -1.120110692768365549e-04 2.354446476869133278e+02 2.406208225831667733e+03 5.356298164447926169e+00
-2.037349092337465084e+00 -4.949444925207754586e+00 5.231123748602434231e-02 6.880820723943781823e-03 -2.519758744625222140e-03 -1.133160816937842487e-04 2.365044621856892491e+02 2.407920064118745813e+03 5.352619252037305486e+00
-1.949312774604179177e+00 -4.980790164226966077e+00 5.085847698209328832e-02 6.929907910533938953e-03 -2.397488133130596093e-03 -1.145863988904297239e-04 2.375628118286800543e+02 2.409631902405823894e+03 5.348894982889088823e+00
-1.860788384359725489e+00 -5.010529548752495899e+00 4.939180080624058083e-02 6.976853976288889016e-03 -2.274379201151824782e-03 -1.158216339158492304e-04 2.386196799617029285e+02 2.411343740692901520e+03 5.345126688889314970e+00
-1.771806303430039975e+00 -5.038656609608171522e+00 4.791172463606532816e-02 7.021644620982223604e-03 -2.150469448862182571e-03 -1.170214105054880174e-04 2.396750504959410648e+02 2.413055578979979146e+03 5.341315712423310380e+00
-1.682396953204496670e+00 -5.065165485683774449e+00 4.641876685122178076e-02 7.064266200949668832e-03 -2.025796620372571303e-03 -1.181853631957741768e-04 2.407289079108865053e+02 2.414767417267057226e+03 5.337463405722788323e+00
-1.592590781397202226e+00 -5.090050921772694359e+00 4.491344829230915769e-02 7.104705733245087265e-03 -1.900398692234255569e-03 -1.193131374354430455e-04 2.417812372569685806e+02 2.416479255554135307e+03 5.333571130215468692e+00
